column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
S_N,int64,int64,28 | 16 | 24 | 18 | 9,0,0.0,,"Sequential numeric identifier stored as int64, with values ranging from 1 to 30. All 30 records contain unique non-null values. Acts as a one-to-one shared join key with Acc_Info_dirty.S_N (100% coverage in this table, 96.7% coverage in related table).",[VALIDATE] Ensure referential integrity is maintained with Acc_Info_dirty.S_N when joining or loading new records.
Account_No,int64,string,1026 | 1014 | 1022 | 1016 | 1008,0,0.0,,Account identifier stored as 4-digit numeric codes ranging from 1001 to 1028. Contains 30 records with 28 distinct values (2 duplicates: values 1001 and 1010 each appear twice) and no missing values. Currently stored as int64 but intended to represent categorical identifiers rather than quantitative values.,"[STANDARDIZE] Convert data type from int64 to string to properly represent account identifier semantics. | [CLARIFY] Verify whether the duplicate account numbers (1001 and 1010) represent valid business scenarios (e.g., joint accounts, account reopening) or data entry errors. | [VALIDATE] Ensure all values maintain exactly 4 digits when converted to string format."
Name,string,string,WANG SHI JIE | Danish Bin Kamaruddin | Lim Jun Rong | Shalini d/o Krishnan | Farah Binte Hassan,0,0.0,,"Full name stored as free-text with 30 distinct non-null values (100% populated). Contains multicultural naming conventions including Malay patronymics (Bin/Binte), Indian relational suffixes (s/o, d/o), and Chinese names. All values are unique. Two values deviate from the dominant Title Case convention: 'lim wei jie' (lowercase) and 'WANG SHI JIE' (uppercase).","[STANDARDIZE] Standardise deterministic case deviations using the dominant Title Case convention: 'lim wei jie' → 'Lim Wei Jie', 'WANG SHI JIE' → 'Wang Shi Jie'."
ID_No,string,string,S8403757E | S8421753J | S8792459I | G2233445S | G5566778N,0,0.0,,"National Identification Number field, likely Singapore NRIC or FIN, stored as 8-9 character strings. All 30 records are populated with no missing values. 93.3% of values follow the standard format of one alphabetic prefix (S, T, F, or G) followed by 7 digits and a checksum letter (e.g., 'S8403757E'). Two records deviate from this pattern: '1916569C' lacks the leading alphabetic prefix, and 'F212233V' contains only 6 digits. The column contains 29 distinct values with one duplicate ('F1011121T').","[CLARIFY] Verify the correct values for 2 format anomalies: '1916569C' (missing alphabetic prefix) and 'F212233V' (contains only 6 digits instead of 7). Confirm whether these are data entry errors or valid alternative ID formats. | [CLARIFY] Investigate the duplicate value 'F1011121T' appearing in 2 records—verify if this represents the same individual recorded twice or a data entry error. | [VALIDATE] Ensure all values follow the format: one uppercase letter (S, T, F, or G), followed by exactly 7 digits, ending with one uppercase checksum letter — e.g., S1234567D."
Race,string,string,Chinese | Malay | Indian | MALAY | indian,0,0.0,,"Race or ethnicity classification stored as categorical text. Contains 30 records with no missing values, representing 3 distinct demographic categories (Chinese, Indian, Malay) across 6 observed values with inconsistent casing. String lengths range from 5 to 7 characters.","[STANDARDIZE] Unify casing variations to Title Case: 'MALAY' → 'Malay', 'malay' → 'Malay', 'indian' → 'Indian'. | [VALIDATE] Ensure all values conform to the standard Title Case format for race categories after standardisation."
Gender,string,string,Male | Female | FEMALE | male,0,0.0,,"Gender classification stored as string. All 30 records (100%) are populated with no missing values. Contains 4 distinct values representing two semantic categories (Male/Female) with case inconsistencies observed (e.g., 'Male' vs 'male', 'Female' vs 'FEMALE').","[STANDARDIZE] Unify case variations to consistent Title Case: 'male' → 'Male', 'FEMALE' → 'Female'."
Age,int64,int64,41 | 38 | 36 | 27 | 58,0,0.0,"1 non-numeric value(s) (3.3% of 30 records) found in numeric-like column; examples: ['Twenty-five'] | 2 age value(s) below 13 — may be unrealistic for a service account: [4.0, -5.0]","Age field intended to store numeric values, with 30 records and no missing values. Contains 24 distinct values ranging from -5 to 66 years. One record (3.3%) contains a non-numeric text value ('Twenty-five'), and two records (6.7%) contain domain-implausible ages (-5 and 4 years) that may be unsuitable for a service account.","[STANDARDIZE] Convert text representation to numeric format: 'Twenty-five' → 25 (affecting 3.3% of records). | [CLARIFY] Confirm validity of unrealistic age values (-5 and 4 years) which appear inconsistent with service account eligibility, or verify if these represent data entry errors requiring correction."
Contact_No,string,string,+65 80734991 | 62357895 | +65 80925315 | 89610352 | 65 80742791,2,0.06666666666666667,2 NULL values (6.7% of 30 records),"Contact phone number stored as text with 2 missing values (6.7% of 30 records). Values exhibit multiple formats: approximately 18% use international format with '+65' prefix, while others use '65' prefix or no prefix. Observed lengths range from 7 to 12 characters, with one 7-digit value present among otherwise 8-digit numbers. All non-null values are unique.","[STANDARDIZE] Unify phone number formats to international standard: convert '65 XXXXXXXX' → '+65 XXXXXXXX' and 'XXXXXXXX' → '+65 XXXXXXXX'. | [CLARIFY] Verify the 7-digit value '8964359' to confirm if it is complete or if a digit is missing, given that all other local numbers contain 8 digits. | [VALIDATE] Ensure all values conform to the format '+65' followed by exactly 8 digits after standardization."
Email,string,string,wsj@example.com | dandan@example.com | rongrong@example.com | shasha@example.com | farah@example.com,0,0.0,"structurally malformed email values (missing @ or contains spaces): ['not-an-email', 'zx91 @example.com', 'nabilah@@example.com', 'useremail.com']","Customer email address field stored as text. Contains 30 records with no missing values and 29 distinct values. One value ('thm@example.com') appears twice. 4 records (13.3%) contain structurally malformed addresses exhibiting issues such as missing @ symbols, embedded spaces, or double @ characters.","[STANDARDIZE] Fix deterministic formatting errors: 'zx91 @example.com' → 'zx91@example.com', 'nabilah@@example.com' → 'nabilah@example.com'. | [CLARIFY] Review indeterminate malformed values to determine correct email addresses: 'not-an-email', 'useremail.com'. | [CLARIFY] Confirm whether the duplicate value 'thm@example.com' represents a legitimate repeated contact or a data entry error. | [VALIDATE] Ensure all values conform to standard email format (local-part@domain) - e.g., 'user@example.com'."
Country,string,string,新加坡 | Singapore | S'pore | SG | SINGAPORE,0,0.0,,"Country identifier stored as text with zero missing values across 30 records. Contains 8 distinct representations of Singapore, including English variants ('Singapore', 'SINGAPORE', 'singapore', 'Republic of Singapore'), abbreviations ('SG', 'S'pore'), and translations in Malay ('Singapura') and Chinese ('新加坡').","[STANDARDIZE] Standardise casing deviations to title case: 'SINGAPORE' → 'Singapore', 'singapore' → 'Singapore'. | [CLARIFY] Confirm canonical mapping for alternative representations: 'SG' → 'Singapore', 'S'pore' → 'Singapore', 'Republic of Singapore' → 'Singapore', 'Singapura' → 'Singapore', '新加坡' → 'Singapore'. Verify whether multilingual values should be preserved or unified to a single canonical form."
Street_Name,string,string,Pandan Loop | Balestier Road | Upper Bukit Timah Road | HOLLAND ROAD | Yishun Ring Road,0,0.0,,"Street name field with 30 distinct values across 30 records (no missing data). Values represent road names (e.g., 'Balestier Road', 'Upper Bukit Timah Road'). One value appears in all-uppercase ('HOLLAND ROAD'), representing a casing deviation from the dominant Title Case pattern.",[STANDARDIZE] Standardise the all-uppercase value to Title Case: 'HOLLAND ROAD' → 'Holland Road' (3.3% of values).
Postal_Code,int64,string,410633 | 387405 | 229287 | 756957 | 99999,0,0.0,,"Postal code identifier stored as int64 with 30 distinct non-null values. Values range from 4 to 6 digits in length (minimum: 6907, maximum: 786055). Integer storage format has likely truncated leading zeros that are semantically significant for postal codes. Observed lengths include 4-digit (e.g., 6907), 5-digit (e.g., 99999), and 6-digit (e.g., 410633) variations.","[STANDARDIZE] Convert data type from int64 to string to preserve leading zeros and prevent further data loss: 6907 → '6907', 99999 → '99999', 410633 → '410633'. | [CLARIFY] Confirm whether the varying digit lengths (4, 5, and 6 digits) represent valid different postal code systems (e.g., international codes) or if shorter values should be zero-padded to a standard length (e.g., should 6907 be formatted as '06907' or '006907'?)."
