column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
ServiceNo,int64,int64,10,0,0.0,,"Bus service number stored as integer (int64). All 148 records (100%) contain the constant value '10', resulting in zero analytical variance with no distinguishing information between rows. No missing values present. Values are consistently 2 digits in length.","[CLARIFY] Confirm whether the constant value '10' is intentional (e.g., this table is filtered to Service 10 routes only) or if the column should be removed due to zero variance. If multiple services are expected, investigate the data source for completeness."
Operator,string,string,SBST,0,0.0,,"Bus operator code stored as a 4-character string. All 148 records contain the constant value 'SBST' with zero missing values, resulting in no analytical variance.","[CLARIFY] Confirm whether this zero-variance column serves a mandatory metadata purpose (e.g., partition key, data lineage marker) or should be removed. Verify if the dataset is expected to contain only 'SBST' or if records for additional operators are missing."
Direction,int64,int64,2 | 1,0,0.0,,"Direction indicator stored as integer (int64). Contains two distinct values (1 and 2) across all 148 records with no missing values. Values are single-digit integers suggesting a binary directional classification (e.g., inbound/outbound or clockwise/counter-clockwise).",[No Immediate Action]
StopSequence,int64,int64,52 | 66 | 20 | 31 | 13,0,0.0,,"Numeric sequence identifier indicating the position of a stop within a bus route. Values range from 1 to 74 (integer), with 74 distinct sequence numbers observed across 148 records. Values are intentionally non-unique as sequence numbers are reused across different bus routes. All 148 records are complete with no missing values.",[No Immediate Action]
BusStopCode,int64,string,93061 | 14101 | 85051 | 94029 | 3071,0,0.0,,"Bus stop identifier codes. Contains 148 records with 0 missing values (0%) and 146 distinct values. Two values (75009 and 16009) each appear twice. Values range from 2111 to 96289 and are intended to be 5-character strings, but are currently stored as int64 with leading zeros removed (e.g., 3071 represents '03071').","[STANDARDIZE] Convert data type from int64 to string and pad with leading zeros to restore 5-character format: 3071 → '03071', 2111 → '02111'. | [CLARIFY] Confirm whether the 2 duplicate values (75009 and 16009) represent valid repeated stops (e.g., serving multiple routes) or data entry errors."
Distance,float64,float64,22.5 | 23.1 | 27.9 | 7.7 | 11.6,0,0.0,,"Distance measurement for bus routes stored as decimal numbers (float64). All 148 records are populated (0% missing) with values ranging from 0.0 to 31.9. Contains 135 distinct values, indicating some routes share identical distance measurements.",[No Immediate Action]
WD_FirstBus,int64,string,636 | 603 | 654 | 524 | 633,0,0.0,,"Weekday first bus departure time, stored as integers (500-707) representing scheduled departure times from 5:00 AM to 7:07 AM. Currently stored as int64 but intended as 4-character string in HHMM format. All 148 records are populated with 0% missing values and 99 distinct departure times. Values lose the leading zero for times before 10:00 AM when stored as integers (e.g., 0603 becomes 603).","[STANDARDIZE] Convert integer values to 4-character zero-padded strings to restore HHMM format: 603 → '0603', 636 → '0636', 524 → '0524'. | [VALIDATE] Ensure all values follow the 24-hour time format with 4 digits (HHMM) — e.g., '0603' for 6:03 AM."
WD_LastBus,int64,string,58 | 3 | 108 | 2324 | 31,0,0.0,column appears to be a near-duplicate of another column in this table — confirm if both are needed or if one should be removed,"Weekday last bus departure time represented as integer values in 24-hour format (range 1-2400, e.g., 58 for 00:58, 2324 for 23:24). Contains 148 records with no missing values and 108 distinct times. Stored as int64 but intended as string format. Shows high value resemblance to 'SAT_LastBus' (74.2%) and 'SUN_LastBus' (71.1%) columns in the same table.","[STANDARDIZE] Convert data type from int64 to string and zero-pad to 4 digits to ensure consistent HHMM time format: single-digit values → '000N', two-digit values → '00NN', three-digit values → '0NNN' (e.g., 3 → '0003', 58 → '0058', 108 → '0108'). | [CLARIFY] Review near-duplicate relationship with 'SAT_LastBus' and 'SUN_LastBus' columns — confirm if these represent Saturday and Sunday schedules respectively, and verify whether all three day-specific columns are business-critical or if they should be consolidated."
SAT_FirstBus,int64,string,701 | 603 | 717 | 524 | 632,0,0.0,,"Saturday first bus departure time stored as integers (500-730) representing 24-hour schedule times, though intended to be stored as 4-character strings (HHMM). Contains 115 distinct values across 148 records with no missing values.","[STANDARDIZE] Convert data type from int64 to string with zero-padding to 4 digits: 603 → '0603', 701 → '0701', 500 → '0500'. | [VALIDATE] Ensure all values follow the 24-hour time format with 4 digits (HHMM) — e.g., '0603' for 6:03 AM, '0730' for 7:30 AM."
SAT_LastBus,int64,string,57 | 8 | 109 | 2326 | 31,0,0.0,column appears to be a near-duplicate of another column in this table — confirm if both are needed or if one should be removed,"Saturday last bus departure time, currently stored as int64 but intended to represent 24-hour time values (HHMM format) ranging from 1 to 2400. Contains 148 non-null records with 112 distinct departure times (no missing values). The column exhibits high value resemblance to SUN_LastBus (0.7734) and WD_LastBus (0.7422), indicating potential relationship to Sunday and Weekday schedule columns.","[STANDARDIZE] Convert data type from int64 to string, zero-padding values to 4 digits to ensure consistent 24-hour time representation: 57 → '0057', 8 → '0008', 2326 → '2326'. | [VALIDATE] Ensure all values represent valid 24-hour times between 0001 and 2400 (e.g., 109 represents 01:09, 2400 represents midnight). | [CLARIFY] Confirm whether SAT_LastBus, SUN_LastBus, and WD_LastBus are intentionally separate columns for Saturday, Sunday, and Weekday schedules respectively, or if they represent accidental data duplication as flagged by the near-duplicate detection."
