column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
name,string,string,Second Seige of Storm's End | Siege of Raventree | Battle of the Whispering Wood | Sack of Winterfell | Retaking of Deepwood Motte,0,0.0,,Battle name or title stored as free-text. All 38 records are non-null and unique. One observed value contains a spelling variation where 'Seige' appears instead of 'Siege' ('Second Seige of Storm's End').,"[STANDARDIZE] Correct the spelling deviation using the dominant form: 'Second Seige of Storm's End' → 'Second Siege of Storm's End' (1 of 38 values, ~2.6%)."
year,int64,int64,300 | 298 | 299,0,0.0,,"Year identifier stored as int64. All 38 records are non-null. The column contains only 3 distinct values (298, 299, 300) with a range of 298–300, indicating multiple battle records map to each year. All values are consistently 3-digit integers.",[No Immediate Action]
battle_number,int64,int64,34 | 37 | 5 | 14 | 31,0,0.0,,"Battle identifier stored as integer. Contains 38 records with no missing values and 38 distinct values, ranging sequentially from 1 to 38.",[No Immediate Action]
attacker_king,string,string,Stannis Baratheon | Joffrey/Tommen Baratheon | Balon/Euron Greyjoy | Robb Stark,2,0.05263157894736842,2 NULL values (5.3% of 38 records),"Attacking king name stored as categorical text. Contains 4 distinct values across 36 non-null records, with 2 missing values (5.3% of 38 records). Observed entries include individual names ('Robb Stark', 'Stannis Baratheon') and slash-separated pairs ('Joffrey/Tommen Baratheon', 'Balon/Euron Greyjoy').",[No Immediate Action]
defender_king,string,string,Balon/Euron Greyjoy | Robb Stark | Joffrey/Tommen Baratheon | Renly Baratheon | Stannis Baratheon,3,0.07894736842105263,3 NULL values (7.9% of 38 records),"Defending king name stored as a categorical string with 6 distinct values across 35 non-null records. 3 records (7.9%) have missing values. Some entries contain slash-separated names (e.g., 'Balon/Euron Greyjoy', 'Joffrey/Tommen Baratheon').",[No Immediate Action]
attacker_1,string,string,Baratheon | Bracken | Stark | Bolton | Frey,0,0.0,,"Primary attacking house or faction in a battle, stored as categorical text. Contains 11 distinct non-null values across 38 records with 0% missing. Observed values include house names such as 'Baratheon', 'Stark', 'Lannister', and 'Greyjoy', as well as multi-word faction names such as 'Brave Companions', 'Brotherhood without Banners', and 'Free folk'.",[No Immediate Action]
attacker_2,string,string,Lannister | Tully | Thenns | Frey | Greyjoy,28,0.7368421052631579,28 NULL values (73.7% of 38 records),"Name of a second attacking house or faction in a battle, stored as categorical text. 28 of 38 records (73.7%) are missing, indicating the field is likely optional. Among the 10 non-null entries, there are 7 distinct values (e.g., 'Lannister', 'Tully', 'Greyjoy', 'Bolton', 'Frey', 'Thenns', 'Karstark'). A small number of values appear in multiple records, including 'Tully' and 'Karstark'.","[CLARIFY] Confirm whether the 73.7% missing rate (28 of 38 records) is expected because most battles have only one attacker, assess if the field is business-critical for downstream use, and determine whether missing values should remain null or if the column should be excluded from analyses requiring complete data."
attacker_3,string,string,Giants | Mormont,35,0.9210526315789473,35 NULL values (92.1% of 38 records),"Third attacking party in a battle, stored as categorical text. 35 of 38 records (92.1%) are null, leaving only 3 populated records containing 2 distinct values ('Giants' and 'Mormont'). One non-null value appears twice. No structural or formatting inconsistencies observed among non-null entries.","[CLARIFY] With 35 of 38 records (92.1%) missing, assess whether this field is optional, sparse by design, or business-critical, and determine if it should be excluded from analyses where a third attacker is not applicable."
attacker_4,string,string,Glover,36,0.9473684210526315,36 NULL values (94.7% of 38 records),"Fourth attacker identifier stored as 6-character text. Of 38 total records, 36 (94.7%) are null. The remaining 2 records (5.3%) both contain the identical value 'Glover', which is the only distinct non-null entry observed. The column exhibits zero analytical variance and may be optional or sparsely populated by design.","[CLARIFY] Assess whether this column is business-critical, optional, or sparse by design, given that 36 of 38 records (94.7%) are null. Confirm whether it should be retained for mandatory metadata purposes or excluded from specific analyses, considering the only observed non-null value is 'Glover'."
defender_1,string,string,Lannister | Stark | Greyjoy | Blackwood | Darry,1,0.02631578947368421,1 NULL values (2.6% of 38 records),"Defending house or faction in a battle, stored as categorical text. Contains 12 distinct non-null values across 37 records, with 1 missing value (2.6%). Observed values include house names such as Baratheon, Lannister, Stark, and Night's Watch.",[No Immediate Action]
