column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
S_N,int64,int64,28 | 16 | 24 | 18 | 9,0,0.0,,Sequential numeric identifier (likely Serial Number) stored as integers. Contains 30 unique values ranging from 1 to 30 across 30 records with no missing data. All values are distinct and appear to represent a row sequence or synthetic primary key.,[No Immediate Action]
Account_No,int64,string,1026 | 1014 | 1022 | 1016 | 1008,0,0.0,,Account identifier with 30 non-null values ranging from 1001 to 1028. All values are exactly 4 digits in length. Contains 28 distinct values with 2 duplicate records (account numbers 1001 and 1010 each appear twice). Currently stored as int64 but intended to represent fixed-width string identifiers.,"[STANDARDIZE] Convert data type from int64 to string for all 30 records (100%) to preserve the 4-character fixed-width format: 1001 → '1001', 1028 → '1028'. | [CLARIFY] Verify whether the 2 duplicate account numbers (1001, 1010) represent valid business scenarios (e.g., multiple customer records per account) or data entry errors requiring deduplication."
Name,string,string,Wang Shi Jie | Danish Bin Kamaruddin | Lim Jun Rong | Shalini d/o Krishnan | Farah Binte Hassan,0,0.0,,"Full name field storing complete personal names with 100% completeness (0 missing values) and 100% uniqueness (30 distinct values). Contains multicultural naming conventions including Chinese names (e.g., 'Wang Shi Jie'), Malay patronymics using 'Bin' and 'Binte' (e.g., 'Danish Bin Kamaruddin'), and Indian patronymics using 's/o' and 'd/o' (e.g., 'Shalini d/o Krishnan').",[No Immediate Action]
ID_No,string,string,S8403757E | S8421753J | S8792459I | G2233445S | G5566778N,0,0.0,,"National identification number stored as 9-character string in Singapore NRIC format (prefix letter S, T, F, or G, followed by 7 digits and a checksum suffix). Contains 30 records with 0 missing values and 29 distinct values; one duplicate value ('F1011121T') appears in 2 records. Serves as join key to Acc_Info table with 96.7% coverage.","[CLARIFY] Verify whether the duplicate value 'F1011121T' (appearing in 2 records) is intentional or requires correction to ensure uniqueness. | [VALIDATE] Ensure all values follow the format: one letter (S, T, F, or G), followed by 7 digits, ending with one uppercase letter — e.g., S1234567D. | [VALIDATE] Enforce referential integrity against synthetic User Account Data_V3 - Acc_Info.ID_No before joining or loading new records."
Race,string,string,Chinese | Malay | Indian,0,0.0,,"Categorical field representing race or ethnicity. Contains 30 records with no missing values (0%) and 3 distinct values: 'Chinese', 'Malay', and 'Indian'. Values are observed data points rather than drawn from an official approved reference list.",[No Immediate Action]
Gender,string,string,Male | Female,0,0.0,,"Categorical field representing gender classification. Contains 30 records with no missing values (0%), storing two distinct values: 'Male' and 'Female'. Values are consistently formatted with title case and standard spelling.",[No Immediate Action]
Age,int64,int64,41 | 38 | 36 | 27 | 58,0,0.0,1 non-numeric value(s) (3.3% of 30 records) found in numeric-like column; examples: ['Twenty-five'] | 1 age value(s) below 13 — may be unrealistic for a service account: [4.0],"User age field with schema type int64 but containing mixed numeric and text data, ranging from 4 to 66 years. All 30 records are populated (0% missing) with 24 distinct values. One record (3.3%) contains the text representation 'Twenty-five' instead of numeric format. One value (4) falls below typical age thresholds for service accounts and may be unrealistic.",[STANDARDIZE] Convert text representation to numeric format: 'Twenty-five' → '25'. | [CLARIFY] Confirm validity of age value 4 — flagged as potentially unrealistic for a service account (below typical minimum age of 13).
Contact_No,string,string,67389267 | 65 65789456 | 65 67865467 | 89610352 | +65 80925315,1,0.03333333333333333,1 NULL values (3.3% of 30 records),"Singapore phone number field stored as text. Contains 29 distinct non-null values across 30 records, with 1 missing value (3.3%). Values exhibit format inconsistency across three patterns: 8-digit local format (e.g., '67389267'), '65 ' prefix format (e.g., '65 65789456'), and '+65 ' international format (e.g., '+65 80925315'). One anomalous 7-digit value ('8964359') observed, suggesting a possible missing digit. All non-null values are unique. Value lengths range from 7 to 12 characters.","[STANDARDIZE] Convert values to consistent international format (+65 XXXXXXXX): transform 8-digit local numbers (approximately 38% of values) such as '67389267' → '+65 67389267', and '65 ' prefixed numbers (approximately 38% of values) such as '65 65789456' → '+65 65789456'. | [CLARIFY] Verify the 7-digit value '8964359' — confirm whether this is a valid phone number or if a digit is missing. | [VALIDATE] Ensure all values conform to the standardized format: '+65 ' followed by exactly 8 digits (e.g., '+65 80925315')."
Email,string,string,wsj@example.com | dandan@example.com | rongrong@example.com | shasha@example.com | farah@example.com,0,0.0,"structurally malformed email values (missing @ or contains spaces): ['not-an-email', 'useremail.com']","Email address field stored as string with 30 distinct values and no missing records. While 93.3% of values follow standard email format, 2 records (6.7%) are structurally invalid: 'not-an-email' and 'useremail.com' both lack the @ separator. All values are unique.","[CLARIFY] Review 2 structurally malformed email addresses to determine correct values: 'not-an-email' (missing @ symbol), 'useremail.com' (missing @ symbol). | [VALIDATE] Ensure all values conform to standard email format with local-part@domain structure (e.g., 'user@example.com')."
Country,string,string,新加坡 | Singapore | S'pore | SG | Singapura,0,0.0,,"Country identifier stored as text with 30 non-null records. Contains 5 distinct values representing Singapore across multiple languages and formats: English ('Singapore'), Malay ('Singapura'), Chinese ('新加坡'), ISO code ('SG'), and abbreviated form ('S'pore').","[CLARIFY] Confirm the canonical country representation standard (e.g., ISO 3166-1 alpha-2 code 'SG', full English name 'Singapore', or multilingual preservation) to unify the 5 observed variants representing Singapore."
