column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
S_N,int64,int64,28 | 16 | 24 | 18 | 9,0,0.0,,"Numeric sequence identifier storing integer values from 1 to 30. Contains 30 distinct non-null values across 30 records (100% complete, 100% unique), appearing to function as a row-level serial number or synthetic primary key.",[No Immediate Action]
Account_No,int64,string,1026 | 1014 | 1022 | 1016 | 1008,0,0.0,,"Account identifier with values ranging from 1001 to 1028. All 30 records are non-null (0% missing), containing 28 distinct values with 2 duplicate entries observed (account numbers 1001 and 1010 each appear twice). Values are consistently 4 digits in length. Currently stored as int64 but intended to be string type to properly represent the identifier format.","[STANDARDIZE] Convert data type from int64 to string to properly represent the 4-digit account identifier format. | [CLARIFY] Verify whether the 2 duplicate account numbers ('1001', '1010') represent valid business scenarios (e.g., multiple records per account) or data quality errors requiring deduplication."
Name,string,string,Wang Shi Jie | Danish | junrong | Shalini d/o Krishnan | Farah Binte Hassan,0,0.0,,"Personal name field containing 30 distinct non-null values with no missing entries. Values display culturally diverse naming conventions including Malay patronymics (Bin/Binte) and Indian relational suffixes (s/o, d/o). Four values (13.3%) show case deviations from the dominant Title Case pattern, including two fully lowercase entries and two with lowercase surname components.","[STANDARDIZE] Standardise deterministic case deviations to Title Case: 'junrong' → 'Junrong', 'irfan' → 'Irfan', 'Lee yixuan' → 'Lee Yixuan', 'Hui Min tan' → 'Hui Min Tan'."
ID_No,string,string,S8403757E | S8421753J | S8792459I | G2233445S | G5566778N,0,0.0,,"Unique identifier field containing 30 distinct 9-character values with no missing data (0 nulls out of 30 records). Values follow a consistent alphanumeric pattern: one alphabetic prefix (S, T, F, or G), followed by 7 digits, and ending with one trailing alphabetic character (e.g., S8403757E, G2233445S). Serves as a one-to-one join key to 'synthetic User Account Data_V3 - Cust_Bio.ID_No' with 96.7% coverage.","[VALIDATE] Ensure all values follow the format: one letter (S, T, F, or G), followed by 7 digits, ending with one uppercase letter — e.g., S1234567D. | [VALIDATE] Enforce referential integrity against 'synthetic User Account Data_V3 - Cust_Bio.ID_No' before joining or loading new records."
JoinDate,string,datetime64[ns],2021-03-14 00:00:00 | 2022-06-25 00:00:00 | 2022-06-18 00:00:00 | 2022-09-17 00:00:00 | 2021-07-18 00:00:00,1,0.03333333333333333,1 NULL values (3.3% of 30 records) | 1 unparseable date-like values; examples: ['2025-13-01'],"User account join date stored as string (intended as datetime64[ns]). Contains 29 distinct non-null values across 30 records, with 1 missing value (3.3%). Values span from 2020-01-01 to 2022-11-29, with one invalid entry '2025-13-01' representing an impossible date (month 13).",[CLARIFY] Confirm the correct value for the invalid date '2025-13-01' (month 13 does not exist) and verify whether the 1 missing value (3.3%) is expected or if the field is required for downstream use. | [STANDARDIZE] Convert column data type from string to datetime64[ns] after resolving invalid entries. | [VALIDATE] Ensure all values represent valid calendar dates with appropriate month (1-12) and day ranges before conversion.
LastLogin,string,datetime64[ns],2023-03-30 00:00:00 | 2023-10-17 00:00:00 | 2023-07-29 00:00:00 | 2023-06-15 00:00:00 | 2024-05-12 00:00:00,0,0.0,,"Last login timestamp stored as string with 28 distinct values across 30 records. Two timestamps appear more than once ('2023-11-17 00:00:00' and '2023-07-10 00:00:00'), indicating multiple users share the same last login date. No missing values. All values consistently follow 'YYYY-MM-DD 00:00:00' format with fixed 19-character length. Observed date range spans from 2022-05-19 to 2024-05-12.","[STANDARDIZE] Convert string representations to datetime64[ns] type to enable proper temporal analysis and sorting. | [VALIDATE] Ensure all values follow the format: YYYY-MM-DD followed by time 00:00:00 — e.g., '2023-03-30 00:00:00'."
Subscription,string,string,Premium | Basic | Free | Gold,0,0.0,,"User subscription tier or plan type stored as categorical text. Contains 4 distinct observed values (Basic, Free, Gold, Premium) across 30 records with no missing values, representing different service levels from free to premium offerings.",[No Immediate Action]
SubscriptionFee,float64,float64,434.17 | 764.98 | 99999 | 37.13 | 917.46,0,0.0,1 non-numeric value(s) (3.3% of 30 records) found in numeric-like column; examples: ['free'] | possible sentinel/placeholder value(s) detected: [99999] — confirm if these represent missing or invalid data,"Subscription fee amounts stored as float64. All 30 records are non-null with distinct values. Observed range is $16.53 to $99,999.00, with the majority of values falling between $37 and $917. Contains one non-numeric text value 'free' (3.3% of records) that cannot be parsed as a number, and one value '99999' that appears to be a sentinel/placeholder given it is two orders of magnitude higher than other observed fees.","[CLARIFY] Confirm whether the text value 'free' represents a $0.00 subscription fee or should be treated as NULL. | [CLARIFY] Confirm whether '99999' is a valid subscription fee or a sentinel value representing missing/invalid data; if sentinel, replace with NULL or the appropriate default."
Active,string,bool,True | False | yes,0,0.0,boolean column contains non-standard representations: ['yes'] — standardize to 'True'/'False' before converting to bool dtype,"Account active status flag stored as string with mixed boolean representations ('True', 'False', 'yes'). All 30 records are populated (0% missing). The non-standard value 'yes' appears to encode the True state and requires standardization before type conversion.",[STANDARDIZE] Convert non-standard boolean representation: 'yes' → 'True'. | [VALIDATE] Verify all values conform to 'True' or 'False' before converting to boolean dtype.
AccountBalance,float64,float64,623.68 | 250.7 | 979.25 | 124.56 | 600.35,0,0.0,,Account balance stored as float64 representing monetary amounts. All 30 records are populated with no missing values. Values range from 10.0 to 979.25 and are entirely unique (30 distinct values). No data quality issues detected.,[No Immediate Action]
PreferredLanguage,string,string,German | English | French | Malay | Tamil,0,0.0,,"User preferred language stored as categorical text with 5 distinct values (English, French, German, Malay, Tamil) observed across 30 records. No missing values. All values follow standard language naming conventions in title case with lengths ranging from 5 to 7 characters.",[No Immediate Action]
Device,string,string,Mobile | Desktop | Tablet,0,0.0,,"Categorical field indicating the type of device used to access the account. Contains 30 records with 0 missing values (0.0%) and 3 distinct values: 'Desktop', 'Mobile', and 'Tablet'. Data exhibits consistent title casing with no detected quality issues or format inconsistencies.",[No Immediate Action]
OS,string,string,Windows | iOS | Android | Linux | macOs,0,0.0,,"Operating system or platform identifier stored as categorical text. Contains 5 distinct values representing major desktop and mobile operating systems (Android, iOS, Linux, macOs, Windows) across 30 records with no missing values.",[STANDARDIZE] Correct the casing of Apple's operating system to match official branding: 'macOs' → 'macOS'.
FeedbackScore,float64,float64,4.46 | 5.0 | 1.79 | 4.01 | 2.65,0,0.0,column appears to be a near-duplicate of another column in this table — confirm if both are needed or if one should be removed,"Numeric feedback rating field stored as float64 with values ranging from 1.0 to 5.0. Contains 30 records with no missing values and 29 distinct values (near-unique), with only the value 1.78 appearing twice. The column appears to be a complete duplicate of FeedbackScore1 in the same table (resemblance=1.0).","[CLARIFY] Confirm whether both FeedbackScore and FeedbackScore1 columns are required, or if the duplicate column should be removed to avoid redundancy."
FeedbackScore1,float64,float64,4.46 | 5.0 | 1.79 | 4.01 | 2.65,0,0.0,column appears to be a near-duplicate of another column in this table — confirm if both are needed or if one should be removed,"Numeric feedback score ranging from 1.0 to 5.0, stored as float64. Contains 0 missing values (0%) across 30 records. The column exhibits near-uniqueness with 29 distinct values; only the value '1.78' appears twice. Identified as a near-duplicate of the 'FeedbackScore' column with 100% value resemblance.","[CLARIFY] Confirm whether both 'FeedbackScore1' and 'FeedbackScore' columns are required for business purposes, or if one should be removed to eliminate redundancy."
