column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
ServiceNo,string,string,118 | 12 | 118A | 119 | 118B,0,0.0,,"Bus service number stored as text, with 5 distinct values across 7 records and no missing values. Values include purely numeric identifiers ('12', '118', '119') and alphanumeric codes with single-letter suffixes ('118A', '118B'). Observed lengths range from 2 to 4 characters.",[No Immediate Action]
Operator,string,string,GAS,0,0.0,,"Bus operator identifier stored as 3-character string. All 7 records (100%) contain the identical value 'GAS', resulting in zero analytical variance. No missing values.","[CLARIFY] Confirm whether the constant value 'GAS' is expected (e.g., table filtered to specific operator only) or if this column should be removed due to lack of analytical variance."
Direction,int64,int64,1 | 2,0,0.0,,"Direction code for bus services stored as integer (int64). Contains two distinct values (1 and 2) across all 7 records with no missing values. Likely indicates route direction (e.g., 1=Inbound, 2=Outbound).",[No Immediate Action]
Category,string,string,TRUNK,0,0.0,,"Bus service category classification stored as a 5-character string. All 7 records (100%) contain the identical value 'TRUNK', resulting in zero analytical variance. No missing values present.","[CLARIFY] Confirm whether this constant-value field is required for metadata purposes or should be removed from the dataset, given that all records contain the identical value 'TRUNK' with zero analytical variance."
OriginCode,int64,string,65009 | 97009 | 77009 | 65199 | 96111,0,0.0,,"Bus origin location code intended for storage as 5-digit string identifiers (e.g., 65009, 97009), currently stored as int64. Contains 7 records with 0% missing values and 6 distinct values; one code (65009) is repeated across multiple service records. Values range from 10499 to 97009.","[STANDARDIZE] Convert data type from int64 to string to align with intended storage format: 65009 → '65009', 97009 → '97009', 77009 → '77009', etc. (100% of values). | [VALIDATE] Ensure all values contain exactly 5 digits after string conversion."
DestinationCode,int64,string,97009 | 65009 | 10499 | 96119 | 65191,0,0.0,,Destination identifier for bus services. Currently stored as int64 but represents categorical codes that should be stored as strings. Contains 7 records with no missing values and 6 distinct values (value '65009' appears in 2 records). All values are 5-digit codes ranging from 10499 to 97009.,"[STANDARDIZE] Convert data type from int64 to string to properly represent destination codes: 97009 → '97009', 65009 → '65009', 10499 → '10499', etc. | [VALIDATE] Ensure all values follow the format: exactly 5 digits — e.g., '97009'."
AM_Peak_Freq,string,string,5-08 | 10-10 | 9 | 14-16 | 16-08,0,0.0,,"AM peak bus frequency stored as categorical text with 7 distinct values across 7 records (100% unique, no nulls). Contains mixed formats: single numeric values ('9', '10'), hyphenated ranges ('5-08', '10-10', '14-16', '16-08'), and a dash sentinel ('-'). Inconsistent representation of fixed frequencies ('10' vs '10-10') and variable zero-padding in ranges ('5-08' vs '14-16') observed. Value '16-08' appears to be a descending range requiring verification.","[CLARIFY] Confirm whether '-' represents missing/no service and if it should be converted to NULL. | [CLARIFY] Verify correct format for fixed frequencies: standardize on single value ('10') or range format ('10-10'), and confirm whether '16-08' represents a valid descending range (16 to 8 minutes) or requires correction. | [STANDARDIZE] Remove leading zeros from range components for consistency with single-value format: '5-08' → '5-8'."
AM_Offpeak_Freq,string,string,8-12 | 8-11 | 09-14 | - | 18-12,0,0.0,"near-duplicate values suggesting variants or typos: [['8-12', '18-12']]","AM off-peak bus frequency stored as string ranges indicating minutes between services (e.g., '8-12'). Contains 6 distinct values across 7 records with no nulls. Shows inconsistent leading zero padding (e.g., '8-12' vs '08-15') and includes '-' likely indicating no service. Near-duplicate pair '8-12' and '18-12' requires verification.","[STANDARDIZE] Unify leading zero formats by padding single-digit values with leading zeros (~29% of records): '8-11' → '08-11', '8-12' → '08-12'. | [CLARIFY] Verify near-duplicate pair '8-12' vs '18-12' — confirm whether '18-12' represents a valid 18-12 minute frequency or is a data entry error. | [CLARIFY] Confirm business meaning of '-' value (no service, not applicable, or missing data indicator)."
PM_Peak_Freq,string,string,8-10 | 4-08 | 9-10 | - | 17-12,0,0.0,,"PM peak frequency stored as string, with values representing minute ranges or intervals (e.g., '8-10', '17-12', '4-08'). Contains 7 distinct values with no NULLs; however, one value ('-') appears to represent missing or not applicable data. Inconsistent leading zero padding observed across values (e.g., '08-14' vs '8-10').","[CLARIFY] Confirm whether '-' represents missing/unknown frequency and should be converted to NULL. | [CLARIFY] Verify the expected format for frequency values and standardize leading zero inconsistencies (e.g., '08-14' vs '8-14')."
PM_Offpeak_Freq,string,string,09-14 | 9-12 | 11-13 | - | 15-17,0,0.0,,"PM off-peak frequency stored as string, representing service intervals in minutes (e.g., '9-12', '15-17'). Contains 6 distinct values across 7 records with no missing values. One sentinel value '-' appears in 2 records, likely indicating no service or not applicable. Format inconsistency observed: '09-14' includes a leading zero while comparable ranges like '9-12' do not.","[STANDARDIZE] Unify range formats by removing leading zeros from single-digit values: '09-14' → '9-14'. | [CLARIFY] Confirm the business meaning of the '-' value (appearing in 2 of 7 records) — verify whether it indicates no service, route suspension, or missing data. | [VALIDATE] Ensure all values follow the format: either a single dash '-' or two integers separated by a hyphen representing minute ranges (e.g., '9-12', '15-17')."
LoopDesc,string,string,Hougang St 21,0,0.0,,"Loop description for bus services stored as string. While the column contains 0 NULL values, 6 of 7 records (85.7%) are empty strings; only one record contains a populated value ('Hougang St 21'). Non-empty values are consistently 13 characters in length.","[CLARIFY] Assess whether the high prevalence of empty strings (85.7%) indicates an optional field, sparse data collection by design, or a data quality issue. Confirm if empty strings should be converted to NULL, retained as-is, or populated from a source system."
