column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
Trip_ID,int64,int64,136 | 67 | 32 | 119 | 43,0,0.0,,"Unique trip identifier stored as integer. Contains 139 distinct values ranging sequentially from 1 to 139 with no missing values, consistent with a primary key assignment.",[No Immediate Action]
Destination,string,string,"Tokyo | Paris | Honolulu, Hawaii | Barcelona | Sydney, Aus",2,0.014388489208633094,2 NULL values (1.4% of 139 records),"Travel destination stored as free-text. Contains 137 non-null values (2 missing, 1.4%) representing 59 distinct locations. Format inconsistency observed: some entries list city name only (e.g., 'Tokyo', 'Paris', 'Barcelona'), while others include country or state (e.g., 'Honolulu, Hawaii', 'London, UK', 'Sydney, Aus', 'Tokyo, Japan').","[CLARIFY] Confirm the standard format for destination entries: should values consistently include country names (e.g., standardizing 'Tokyo' to 'Tokyo, Japan') or exclude them? Also verify whether country abbreviations (e.g., 'Aus', 'UK', 'USA') should be expanded to full official names."
Start_date,string,datetime64[ns],9/1/2022 | 5/15/2022 | 6/10/2024 | 10/20/2023 | 11/11/2022,2,0.014388489208633094,"2 NULL values (1.4% of 139 records) | near-duplicate values suggesting variants or typos: [['8/15/2023', '4/15/2023'], ['9/5/2024', '2/5/2024'], ['3/23/2023', '6/23/2023']]",Travel start date stored as text in M/D/YYYY format with variable digit padding (values range from 8-10 characters). Contains 111 distinct dates spanning from 1/1/2022 to 9/8/2024 across 137 non-null records. 2 values are missing (1.4%). Currently stored as string but intended to represent datetime values.,"[STANDARDIZE] Convert string dates to datetime64[ns] type and standardize format: '9/1/2022' → '2022-09-01', '5/15/2022' → '2022-05-15', '10/20/2023' → '2023-10-20'. | [CLARIFY] Verify the 3 near-duplicate date pairs flagged as potential typos: '8/15/2023' vs '4/15/2023', '9/5/2024' vs '2/5/2024', '3/23/2023' vs '6/23/2023'. Confirm whether these represent legitimate different travel dates or data entry errors where months were incorrectly recorded. | [VALIDATE] Ensure all values represent valid calendar dates within the observed range after type conversion."
End_date,string,datetime64[ns],9/10/2022 | 5/20/2022 | 6/18/2024 | 10/28/2023 | 11/21/2022,2,0.014388489208633094,"2 NULL values (1.4% of 139 records) | near-duplicate values suggesting variants or typos: [['11/30/2023', '11/30/2021']]",Travel end date stored as string (intended as datetime64[ns]). Contains 137 non-null values (98.6%) with 2 missing (1.4%). Values use M/D/YYYY format with lengths varying 8-10 characters depending on single or double-digit months/days. Observed range spans 1/1/2023 to 9/8/2023 with 125 distinct dates. Contains one near-duplicate pair ('11/30/2023' vs '11/30/2021') suggesting a potential year typo.,[STANDARDIZE] Convert data type from string to datetime64[ns] to enable proper date arithmetic and chronological sorting. | [CLARIFY] Verify the correct year for the near-duplicate pair: '11/30/2023' vs '11/30/2021'. Confirm whether the 2021 date is valid or a data entry error. | [VALIDATE] Ensure all values represent valid calendar dates after type conversion.
Duration_(days),float64,int64,9.0 | 5.0 | 8.0 | 10.0 | 6.0,2,0.014388489208633094,"2 NULL values (1.4% of 139 records) | raw source values include decimal suffix artefacts ['7.0', '5.0', '14.0', '10.0', '8.0'] | 7 value(s) exceed the statistically expected upper bound of 10 (Q3 + 2.0×IQR): [11.0, 13.0, 14.0]","Trip duration in days stored as float64 with decimal suffix artefacts (e.g., 9.0, 5.0), representing whole number values ranging from 5 to 14 days. Contains 137 non-null records (2 missing, 1.4%). Seven values exceed the statistical upper bound of 10 days, including high-end observations of 13.0 and 14.0 days.","[STANDARDIZE] Convert decimal suffix artefacts to integers and change data type from float64 to int64: '9.0' → '9', '5.0' → '5', '14.0' → '14'. | [VALIDATE] Verify all values are positive integers within the observed range after conversion."
Traveler_name,string,string,Sarah Lee | John Smith | Lily Wong | Maria Garcia | Isabella Chen,2,0.014388489208633094,2 NULL values (1.4% of 139 records),Traveler name stored as free-text string with 109 distinct values among 137 non-null records. Natural structural variation in length and word count is expected for personal names.,[No Immediate Action]
Traveler_age,float64,int64,28.0 | 35.0 | 29.0 | 31.0 | 30.0,2,0.014388489208633094,"2 NULL values (1.4% of 139 records) | raw source values include decimal suffix artefacts ['35.0', '28.0', '45.0', '29.0', '26.0'] | 1 value(s) exceed the statistically expected upper bound of 58 (Q3 + 2.0×IQR): [60.0] | [60.0] is a statistical outlier (above expected range 58) and appears sentinel-coded (1 record(s) share this exact value) — confirm if this represents missing or invalid data","Age of the traveler, currently stored as float64 with decimal suffix artefacts (e.g., '28.0', '35.0'). Contains 2 missing values (1.4%). Values range from 20 to 60 years with 29 distinct ages observed across 137 non-null records; the maximum value of 60.0 is flagged as a statistical outlier at the upper bound.","[STANDARDIZE] Convert decimal suffix artefacts to integers and cast column from float64 to int64: '28.0' → '28', '35.0' → '35', '45.0' → '45', etc. | [VALIDATE] Ensure all values are positive integers within a reasonable age range (e.g., 18-100) after standardization."
Traveler_gender,string,string,Female | Male,2,0.014388489208633094,2 NULL values (1.4% of 139 records),"Traveler gender classification stored as categorical text. Contains two distinct values ('Male', 'Female') representing the gender categories of travelers. All observed values follow consistent title casing with no format variations detected.",[No Immediate Action]
Traveler_nationality,string,string,South Korea | USA | Chinese | Spanish | French,2,0.014388489208633094,2 NULL values (1.4% of 139 records),"Traveler nationality stored as free-text with mixed representations: 41 distinct values include both country names (e.g., 'USA', 'Brazil', 'China') and nationality adjectives (e.g., 'American', 'Brazilian', 'Chinese'). Contains 2 missing values (1.4% of 139 records).","[STANDARDIZE] Convert country name entries to nationality adjectives: 'Brazil' → 'Brazilian', 'Cambodia' → 'Cambodian', 'Canada' → 'Canadian', 'China' → 'Chinese', 'Germany' → 'German', 'Greece' → 'Greek', 'Italy' → 'Italian', 'Japan' → 'Japanese', 'Singapore' → 'Singaporean', 'Spain' → 'Spanish', 'Taiwan' → 'Taiwanese', 'UK' → 'British', 'United Kingdom' → 'British', 'USA' → 'American', 'South Korea' → 'South Korean', 'United Arab Emirates' → 'Emirati'. | [CLARIFY] Resolve ambiguous entries: confirm whether 'Korean' represents South Korean, North Korean, or both (given 'South Korean' also exists); verify if 'Hong Kong' should be converted to a specific nationality form or retained as-is; confirm whether 'Scottish' should be standardized to 'British' or retained as a distinct sub-nationality."
Accommodation_type,string,string,Airbnb | Hotel | Resort | Vacation rental | Hostel,2,0.014388489208633094,2 NULL values (1.4% of 139 records),"Type of accommodation booked, stored as categorical text with 8 distinct values: Hotel, Resort, Airbnb, Hostel, Villa, Guesthouse, Riad, and Vacation rental. All 137 non-null records use consistent title casing.",[No Immediate Action]
Accommodation_cost,string,string,"800 | 1000 | 3000 | $1,100 | 900",2,0.014388489208633094,"2 NULL values (1.4% of 139 records) | near-duplicate values suggesting variants or typos: [['1200 USD', '200 USD']]","Accommodation cost stored as string with inconsistent currency formatting. Contains 137 non-null values (2 missing, 1.4%) representing 53 distinct amounts. Observed formats include plain integers ('800', '1000'), dollar-prefixed values with comma separators ('$1,100'), and USD-suffixed values ('1200 USD', '900 USD').","[STANDARDIZE] Unify currency formats by removing '$' and ',' characters, stripping 'USD' suffix, and converting to numeric type: '$1,100' → '1100', '1200 USD' → '1200'. | [CLARIFY] Verify near-duplicate pair '1200 USD' vs '200 USD' to confirm whether these represent distinct accommodation costs or if one contains a data entry error (e.g., transposed or missing digits). | [VALIDATE] Ensure all standardized values are positive numeric amounts appropriate for accommodation costs."
Transportation_type,string,string,Plane | Airplane | Car rental | Flight | Train,3,0.02158273381294964,3 NULL values (2.2% of 139 records),"Categorical field indicating the mode of transportation used for travel. Contains 9 distinct non-null values across 136 records, with 3 missing values (2.2%). Observed categories include 'Airplane', 'Bus', 'Car', 'Car rental', 'Ferry', 'Flight', 'Plane', 'Subway', and 'Train'. Potential semantic duplicates identified: 'Plane', 'Airplane', and 'Flight' appear to represent the same air travel mode.","[CLARIFY] Review categorical values for potential consolidation: (1) Confirm whether 'Plane', 'Airplane', and 'Flight' are synonymous or represent distinct subcategories (e.g., commercial vs private); (2) Verify if 'Car' and 'Car rental' should remain separate categories or be merged under a single ground transportation type."
Transportation_cost,string,string,500 USD | 500 | 800 | 700 | 3000,3,0.02158273381294964,3 NULL values (2.2% of 139 records),"Transportation cost stored as string with inconsistent currency formatting. Contains 3 missing values (2.2% of 139 records). Values appear in mixed formats: with dollar sign prefixes (e.g., '$500', '$1,000'), with 'USD' suffixes (e.g., '500 USD'), and as plain numeric strings (e.g., '500', '1000'). Some values include comma separators. There are 48 distinct non-null values among 136 non-null records.","[STANDARDIZE] Unify currency formats by converting all values to consistent numeric representation without currency symbols or text: '$1,000' → '1000', '$500' → '500', '500 USD' → '500', '1,200' → '1200'. | [VALIDATE] Ensure all values follow the format: plain numeric digits without currency symbols, commas, or text suffixes — e.g., '1500'."
