column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
Disease,string,string,Acne | Hyperthyroidism | AIDS | Chronic cholestasis | Hypertension,0,0.0,,"Disease category or diagnosis label stored as text. Contains 41 distinct non-null values across 4,920 records with 0 NULL values (0% missing), indicating a required, low-cardinality classification field. Values predominantly follow a title-case convention, with one lowercase deviation and several suspected spelling variations present in the observed distinct value set.","[STANDARDIZE] Apply the dominant title-case convention to the single lowercase deviation: 'hepatitis A' → 'Hepatitis A'. | [CLARIFY] Confirm canonical spellings for 4 suspected typographical errors before standardisation: '(vertigo) Paroymsal  Positional Vertigo' (possible 'Paroxysmal'), 'Peptic ulcer diseae' (possible 'disease'), 'Osteoarthristis' (possible 'Osteoarthritis'), and 'Dimorphic hemmorhoids(piles)' (possible 'hemorrhoids')."
Symptom_1,string,string,skin_rash | fatigue | muscle_wasting | itching | headache,0,0.0,,"Primary symptom descriptor stored as lowercase snake_case text. Contains 34 distinct categorical values across 4,920 records with no missing values. Values represent medical symptoms such as 'skin_rash', 'fatigue', 'muscle_wasting', and 'headache', with underscores used as word separators for multi-word terms.",[No Immediate Action]
Symptom_2,string,string,blackheads | pus_filled_pimples | mood_swings | patches_in_throat | vomiting,0,0.0,,"Second symptom field stored as categorical text with 48 distinct non-null values across 4,920 records and no missing values. Values are lowercase medical symptom descriptors, predominantly in snake_case with underscores separating words (e.g., 'skin_rash', 'weight_loss'). Format uniformity is low (21.6%) due to natural variation in symptom name length and word count. One observed value ('foul_smell_of urine') contains a space instead of an underscore.",[CLARIFY] Confirm whether 'foul_smell_of urine' should be corrected to 'foul_smell_of_urine' to match the underscore-delimited snake_case format used by all other multi-word symptom entries.
Symptom_3,string,string,scurring | blackheads | weight_loss | high_fever | yellowish_skin,0,0.0,column appears categorical (low uniqueness: 1.1%) but has 54 distinct values — possible contamination or encoding issues,"Third symptom field stored as categorical text with 54 distinct snake_case symptom descriptors across 4,920 records and no missing values. Values are highly repeated (1.1% uniqueness ratio). An observed value 'dischromic _patches' contains a space before the underscore, and the column is flagged for possible contamination or encoding issues.",[CLARIFY] Review the 54 distinct categorical values for contamination and encoding issues. At least one observed value contains an embedded space before an underscore ('dischromic _patches'); confirm the canonical form for this and any similar formatting anomalies before standardising.
Symptom_4,string,string,dark_urine | family_history | loss_of_appetite | lethargy | swelling_of_stomach,348,0.07073170731707316,348 NULL values (7.1% of 4920 records),"Fourth reported symptom stored as snake_case categorical text. Contains 50 distinct non-null values across 4,572 populated records, with 348 missing values (7.1%). Two observed values contain extra spaces that break the otherwise consistent snake_case formatting.","[STANDARDIZE] Remove extra spaces in snake_case symptom values: 'dischromic _patches' → 'dischromic_patches', 'spotting_ urination' → 'spotting_urination'."
Symptom_5,string,string,headache | painful_walking | irregular_sugar_level | irritation_in_anus | diarrhoea,1206,0.2451219512195122,1206 NULL values (24.5% of 4920 records),"Medical symptom descriptions stored as snake_case text. Contains 38 distinct non-null values across 3,714 records, with 1,206 missing values (24.5%). One observed value ('spotting_ urination') contains an anomalous space after the underscore, deviating from the consistent snake_case format used by all other entries.","[STANDARDIZE] Remove the anomalous space in 'spotting_ urination' → 'spotting_urination' to align with the dominant snake_case format. | [CLARIFY] Confirm whether the 1,206 missing values (24.5%) are expected (e.g., patients presenting fewer than 5 symptoms) or whether this field is required for downstream use."
Symptom_6,string,string,painful_walking | unsteadiness | dark_urine | depression | malaise,1986,0.4036585365853659,1986 NULL values (40.4% of 4920 records),"Sixth symptom field storing medical symptom descriptions as lowercase snake_case categorical text. Contains 32 distinct values across 2,934 non-null records, with 1,986 missing values (40.4%). Observed values are consistently formatted (e.g., 'chest_pain', 'dark_urine', 'yellowish_skin').","[CLARIFY] Assess field criticality and downstream usage given 1,986 missing values (40.4%). Confirm whether nulls indicate absence of a sixth symptom (sparse by design) or whether missing values should remain null."
Symptom_7,string,string,excessive_hunger | fluid_overload | breathlessness | blurred_and_distorted_vision | phlegm,2652,0.5390243902439025,2652 NULL values (53.9% of 4920 records),"Medical symptom descriptor stored as snake_case string. Contains 26 distinct non-null values among 2,268 populated records, with 2,652 null values (53.9% of 4,920 total records). Observed values include physical and physiological symptoms such as 'abdominal_pain', 'breathlessness', and 'blurred_and_distorted_vision', all following a consistent lowercase underscore-delimited format.","[CLARIFY] Assess whether this field is business-critical, optional, or sparse by design given that 2,652 records (53.9%) are null. Confirm if missing values indicate the symptom was not present, not recorded, or should be excluded from specific analyses."
Symptom_8,string,string,abdominal_pain | malaise | sweating | drying_and_tingling_lips | enlarged_thyroid,2976,0.6048780487804878,2976 NULL values (60.5% of 4920 records),"Medical symptom description stored as snake_case text in the eighth symptom position. Contains 2,976 missing values out of 4,920 records (60.5%), leaving 1,944 non-null entries. Only 21 distinct values are observed among the populated records, indicating low cardinality with repeated symptoms such as 'abdominal_pain', 'chest_pain', and 'enlarged_thyroid' appearing across multiple rows.","[CLARIFY] With 2,976 missing values (60.5%), assess whether this symptom field is optional, sparse by design, business-critical, or should be excluded from specific analyses."
Symptom_9,string,string,swelled_lymph_nodes | mild_fever | abdominal_pain | chest_pain | yellowing_of_eyes,3228,0.6560975609756098,3228 NULL values (65.6% of 4920 records),"Medical symptom description stored as snake_case text, appearing to represent the ninth symptom in a multi-slot symptom record. Of 4,920 total records, 3,228 are null (65.6%), leaving 1,692 non-null entries comprising 22 distinct observed values such as 'abdominal_pain', 'mild_fever', and 'yellowing_of_eyes'.","[CLARIFY] Assess whether the 65.6% missing rate (3,228 of 4,920 records) is expected because most records have fewer than nine symptoms, or whether the field is optional, business-critical, sparse by design, or should be excluded from specific analyses."
