column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
given_name,string,string,capurso | scott | heron | kayl | sophie,234,0.0468,"234 NULL values (4.7% of 5000 records) | near-duplicate values suggesting variants or typos: [['lochlan', 'lochlano'], ['lachln', 'lachlnn'], ['matthew', 'matthews']]","Given name field stored as text. Contains 234 missing values (4.7% of 5,000 records) and 1,702 distinct non-null values. Near-duplicate variants detected suggest potential spelling variations or typos (e.g., 'lochlan' vs 'lochlano').","[CLARIFY] Confirm whether 234 missing values (4.7%) are expected for this field, or if given_name is required for downstream matching/linkage. | [CLARIFY] Review 3 near-duplicate pairs before standardisation: 'lochlan' vs 'lochlano', 'lachln' vs 'lachlnn', 'matthew' vs 'matthews'. Verify the canonical form with the data owner."
last_name,string,string,whte | embrey | flynn | poumacko | roles,102,0.0204,102 NULL values (2.0% of 5000 records),"Family name or surname stored as text. Contains 102 missing values (2.0% of 5,000 records). There are 2,633 distinct non-null values; repeated surnames are expected and valid for this field type. Alphabetic range spans from 'aba' to 'zwaadzki'.",[No Immediate Action]
street_number,float64,int64,61.0 | 3.0 | 6.0 | 181.0 | 75.0,287,0.0574,"287 NULL values (5.7% of 5000 records) | raw source values include decimal suffix artefacts ['3.0', '47.0', '72.0', '1.0', '14.0'] | possible sentinel/placeholder value(s) detected: [9999] — confirm if these represent missing or invalid data","Street address number stored as float64 with decimal suffix artefacts (e.g., '61.0'). Contains 287 missing values (5.7% of 5,000 records). Values range from 1 to 14,430, with 448 distinct values observed among 4,713 non-null records. The value 9999 appears as a potential sentinel or placeholder requiring verification.","[STANDARDIZE] Convert decimal suffix artefacts from float64 to integers: '61.0' → '61', '3.0' → '3', '6.0' → '6', etc., and cast column to int64. | [CLARIFY] Confirm whether the value 9999 represents a valid street number or is a sentinel/placeholder for missing or invalid data."
address_1,string,string,lawrence crescent | teaguestreet | skinnerstreet | sherbrooke street | goyder street,220,0.044,220 NULL values (4.4% of 5000 records),"Primary street address stored as free-text. Contains 220 missing values (4.4% of 5,000 records) and 3,516 distinct values among 4,780 non-null records. Observed values show inconsistent spacing between street name and type (e.g., 'teaguestreet' vs 'sherbrooke street'). Note: 'light setreet' appears to be a misspelling of 'light street'.",[CLARIFY] Confirm: (1) whether 220 missing values (4.4%) are expected for records without addresses or indicate data collection gaps; (2) canonical format for street type spacing given variations like 'teaguestreet' vs 'sherbrooke street'; (3) whether 'light setreet' is a typo for 'light street'.
address_2,string,string,mailnga | dodonaea wing | glenlee | spence place | reynolds dale,851,0.1702,851 NULL values (17.0% of 5000 records),"Secondary address line storing free-text location details such as street names, localities, building names, or additional address components. Contains 4,149 non-null values out of 5,000 records (83.0% populated), with 851 missing values (17.0%). Among non-null entries, there are 3,306 distinct values with expected duplication patterns (e.g., shared street names or localities).","[CLARIFY] Confirm whether the 17.0% missing rate (851 records) is expected for this optional address field, or if these values should be populated for downstream use."
suburb,string,string,labrador | peakhurst | seventeen mile rocks | cabramatta | mackay north,106,0.0212,106 NULL values (2.1% of 5000 records),"Suburb or locality name stored as free-text. Contains 106 missing values (2.1% of 5,000 records) with 2,403 distinct non-null values. Alphabetic range spans from 'abbotsford' to 'yunderup', with natural variation in length and word count expected for geographic names (e.g., 'peakhurst', 'seventeen mile rocks').",[No Immediate Action]
postcode,int64,int64,2090 | 2565 | 6112 | 3672 | 7018,0,0.0,,"Postcode stored as integer (int64). Contains 5,000 non-null records (100% populated) with 1,691 distinct values. Values range from 216 to 9,319 with observed lengths of 3 and 4 digits. Four high-end values (8,235; 9,205; 9,316; 9,319) are observed at the upper range limit. Shares value domain with febrl4a.postcode (96.3% / 80.8% coverage).",[No Immediate Action]
state,string,string,qld | vic | nsw | wa | sa,107,0.0214,107 NULL values (2.1% of 5000 records),"Australian state or territory abbreviation stored as 2-3 character string. Contains 107 missing values (2.1% of 5,000 records). While 50 distinct non-null values are observed, analysis reveals extensive typographical variations of the 8 standard Australian state codes (ACT, NSW, NT, QLD, SA, TAS, VIC, WA), suggesting data entry errors or optical character recognition issues.","[STANDARDIZE] Map typographical variations to standard Australian state codes: 'acg'/'atc' → 'act', 'msw'/'naw'/'ndw'/'nse'/'nsq'/'nss'/'nws'/'nww'/'snw' → 'nsw', 'ni' → 'nt', 'qdl'/'qkd'/'qlc'/'qle'/'qll'/'qod'/'lqd' → 'qld', 'as'/'sj'/'sk'/'sq'/'ss'/'st'/'sz' → 'sa', 'tsa' → 'tas', 'vci'/'vco'/'vfc'/'vid'/'vie'/'vin'/'viv'/'vix'/'viy'/'vkc'/'vtc' → 'vic', 'aw'/'wq'/'ws' → 'wa'. | [VALIDATE] Ensure all values conform to the 8 official Australian state/territory codes after standardization: ACT, NSW, NT, QLD, SA, TAS, VIC, WA. | [CLARIFY] Confirm whether the 107 missing values (2.1%) are expected or if the field is required for downstream linkage and analysis."
date_of_birth,float64,datetime64[ns],19020429.0 | 19740929.0 | 19741217.0 | 19520110.0 | 19950603.0,199,0.0398,"199 NULL values (4.0% of 5000 records) | raw source values include decimal suffix artefacts ['19651013.0', '19390212.0', '19620216.0', '19980624.0', '19921016.0'] | date-like values stored in non-standard numeric/string format ['19651013.0', '19390212.0', '19620216.0', '19980624.0', '19921016.0'] | 64 unparseable date-like values; examples: ['19450493.0', '19960094.0', '19900270.0', '19105412.0', '19399222.0']","Date of birth stored as float64 in YYYYMMDD.0 format (e.g., 19740929.0 representing 1974-09-29), with values ranging from 1900 to 1999. Contains 199 missing values (4.0% of 5,000 records). Includes 64 unparseable values with invalid date components such as month 93 or day 94.","[STANDARDIZE] Convert float64 format to datetime64[ns] by removing decimal suffix '.0' and parsing YYYYMMDD strings into ISO dates (e.g., '19740929.0' → '1974-09-29'). | [CLARIFY] Review 64 unparseable date values with invalid month/day combinations: '19450493.0', '19960094.0', '19900270.0', '19105412.0', '19399222.0'. Determine correct dates or mark as invalid. | [VALIDATE] Ensure all values represent valid calendar dates with months 01-12 and appropriate days for each month after conversion."
id,int64,string,9427450 | 6421870 | 1432305 | 3451352 | 7613275,0,0.0,,"Unique identifier field containing 5,000 distinct 7-digit numeric values with no missing data. All values are exactly 7 characters in length and range from 1000123 to 9996479. Currently stored as int64 but intended to be string type.","[STANDARDIZE] Convert data type from int64 to string to align with intended schema: 9427450 → '9427450', 6421870 → '6421870'. | [VALIDATE] Ensure all values contain exactly 7 digits after conversion to string format."
