column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
given_name,string,string,hayden | benjamin | sarah | emiily | bridget,112,0.0224,"112 NULL values (2.2% of 5000 records) | near-duplicate values suggesting variants or typos: [['ellouise', 'louise'], ['riley', 'briley'], ['kirra', 'kirrah']]","Personal given name stored as variable-length text. Contains 112 missing values (2.2% of 5,000 records) and 770 distinct non-null values. Near-duplicate variants detected suggest potential spelling inconsistencies or nickname variations.","[CLARIFY] Review 3 near-duplicate pairs to determine canonical forms: 'ellouise' vs 'louise', 'riley' vs 'briley', 'kirra' vs 'kirrah'. | [CLARIFY] Confirm whether the 112 missing values (2.2%) are expected or if given name is required for downstream linkage."
surname,string,string,kilby | bennier | mccarthy | katnich | dhara,48,0.0096,"48 NULL values (1.0% of 5000 records) | near-duplicate values suggesting variants or typos: [['tinsley', 'insley'], ['kammerman', 'kammermann'], ['kinter', 'minter']]","Family name field stored as text, with 1,827 distinct non-null values across 4,952 records. Contains 48 missing values (1.0% of 5,000 records). Near-duplicate variants suggesting potential typos or spelling variations are present.","[CLARIFY] Review 3 near-duplicate pairs before standardisation: 'tinsley' vs 'insley', 'kammerman' vs 'kammermann', 'kinter' vs 'minter'. Verify the canonical form with the data owner."
street_number,float64,int64,112.0 | 132.0 | 73.0 | 18.0 | 3.0,158,0.0316,"158 NULL values (3.2% of 5000 records) | raw source values include decimal suffix artefacts ['8.0', '12.0', '38.0', '905.0', '37.0'] | possible sentinel/placeholder value(s) detected: [9999] — confirm if these represent missing or invalid data","Street number field stored as float64 with decimal suffix artefacts present in all non-null values (e.g., '112.0', '73.0'). Contains 158 missing values (3.2% of 5,000 records). Values range from 1.0 to 9999.0 across 450 distinct entries. The maximum value 9999 is flagged as a possible sentinel/placeholder for missing or invalid data.","[STANDARDIZE] Convert decimal suffix artefacts to integers: '112.0' → '112', '132.0' → '132', '73.0' → '73' (100% of non-null values affected). | [CLARIFY] Confirm whether value '9999' represents a valid street number or is a sentinel/placeholder for missing or invalid data. | [VALIDATE] Ensure all values are positive integers within a reasonable street number range after standardization."
address_1,string,string,morgan crescent | sadlier street | haystack crescent | canopus crescent | frater crescent,98,0.0196,98 NULL values (2.0% of 5000 records),"Primary street address stored as free-text. Contains 4,902 non-null values with 98 missing records (2.0%). There are 2,399 distinct values, indicating expected duplication for shared addresses. Values include street names with various suffixes such as crescent, street, circuit, place, and road.",[No Immediate Action]
address_2,string,string,cordelia state | glenfine station | donnachaidh | beltrasna angus stud | cromdale,420,0.084,420 NULL values (8.4% of 5000 records),"Secondary address component stored as free-text, containing locality names, stations, estates, or area descriptors. Contains 4,580 non-null values (91.6% complete) with 420 missing values (8.4%). Among non-null records, there are 2,575 distinct values indicating expected repetition of common locations. Values exhibit natural variation in length and structure, including alphanumeric entries such as unit numbers.",[No Immediate Action]
suburb,string,string,cobains | ballarat | shellharbour | junee | toowoomba,55,0.011,55 NULL values (1.1% of 5000 records),"Suburb or locality name stored as text, containing 1,634 distinct values across 4,945 non-null records. Values range alphabetically from 'abbotsford' to 'yunderup'.",[No Immediate Action]
postcode,int64,int64,2032 | 2259 | 2110 | 3130 | 4567,0,0.0,,"Postal code field stored as 64-bit integer containing 5,000 non-null records with 1,419 distinct values. Observed codes range from 800 to 7470 with mixed digit lengths of 3 and 4 characters, indicating potential loss of leading zeros in 3-digit entries. Shares value domain with 'febrl4b (rename).postcode' (96.3% / 80.8% coverage).",[STANDARDIZE] Convert 3-digit values to 4-digit format by padding with leading zeros: '800' → '0800'. Cast the column to string type to preserve leading zeros and prevent numeric interpretation. | [CLARIFY] Confirm whether 3-digit values represent postcodes with dropped leading zeros and verify format consistency with the shared domain in 'febrl4b (rename).postcode' to ensure join compatibility.
state,string,string,vic | nsw | qld | sa | wa,50,0.01,50 NULL values (1.0% of 5000 records),"Australian state or territory abbreviation stored as lowercase text. Contains 8 distinct values representing all Australian states and territories (act, nsw, nt, qld, sa, tas, vic, wa) with expected code length variation between 2-3 characters.",[No Immediate Action]
date_of_birth,float64,datetime64[ns],19491020.0 | 19591115.0 | 19510519.0 | 19010708.0 | 19270407.0,94,0.0188,"94 NULL values (1.9% of 5000 records) | raw source values include decimal suffix artefacts ['19151111.0', '19161214.0', '19480930.0', '19951119.0', '19860208.0'] | date-like values stored in non-standard numeric/string format ['19151111.0', '19161214.0', '19480930.0', '19951119.0', '19860208.0']","Date of birth stored as float64 in YYYYMMDD format with decimal suffix artefacts (e.g., 19491020.0). Contains 94 NULL values (1.9% of 5,000 records). Values range from 1900-01-12 to 1999-12-24 with 4,588 distinct non-null values. Intended data type is datetime64[ns].","[STANDARDIZE] Remove decimal suffix artefacts and convert to ISO date format: '19491020.0' → '1949-10-20', '19591115.0' → '1959-11-15'. | [VALIDATE] Verify all values represent valid calendar dates within the observed range 1900-01-12 to 1999-12-24."
soc_sec_id,int64,string,7822273 | 9292818 | 3123016 | 4369551 | 3506178,0,0.0,,"7-digit numeric identifier (likely social security number or similar government ID). Contains 5,000 records with 0 missing values (0%) and 100% uniqueness (5,000 distinct values). Values range from 1000123 to 9996479 and consistently contain exactly 7 digits. Currently stored as int64 but intended to be stored as string.","[STANDARDIZE] Convert data type from int64 to string to align with the intended storage format. | [VALIDATE] Ensure all values contain exactly 7 digits — e.g., 7822273."
