column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
customerID,string,string,1024-GUALD | 0484-JPBRU | 3620-EHIMZ | 6910-HADCM | 8587-XYZSF,0,0.0,,"Unique customer identifier stored as 10-character strings following a consistent format (4 digits, hyphen, 5 uppercase letters). All 7,043 records are non-null with no duplicate values and perfect format uniformity.",[No Immediate Action]
gender,string,string,Female | Male,0,0.0,,"Customer gender stored as categorical string with values 'Female' and 'Male'. All 7,043 records are non-null with complete coverage and no missing values.",[No Immediate Action]
SeniorCitizen,int64,int64,0 | 1,0,0.0,"boolean column contains non-standard representations: ['0', '1'] — standardize to 'True'/'False' before converting to bool dtype","Binary indicator flag representing senior citizen status, stored as integers with values 0 (non-senior) and 1 (senior). All 7,043 records are non-null with only two distinct values observed.","[STANDARDIZE] Convert integer boolean representations to boolean type (100% of values): 0 → False, 1 → True."
Partner,string,bool,Yes | No,0,0.0,"boolean column contains non-standard representations: ['Yes', 'No'] — standardize to 'True'/'False' before converting to bool dtype","Binary indicator flag stored as string values 'Yes' and 'No', representing whether the customer has a partner. All 7,043 records populated with no missing values. Intended to be stored as boolean type.","[STANDARDIZE] Convert boolean string representations to standardized format: 'Yes' → 'True', 'No' → 'False' before converting to boolean dtype."
Dependents,string,bool,No | Yes,0,0.0,"boolean column contains non-standard representations: ['No', 'Yes'] — standardize to 'True'/'False' before converting to bool dtype","Binary indicator flag stored as string values 'Yes' and 'No', representing whether the customer has dependents. All 7,043 records populated with no missing values. Intended to be stored as boolean type.","[STANDARDIZE] Convert boolean string representations to standardized format: 'Yes' → 'True', 'No' → 'False' before converting to boolean dtype."
tenure,int64,int64,1 | 41 | 52 | 67 | 68,0,0.0,,"Numeric field representing customer tenure in months, with integer values ranging from 0 to 72. All 7,043 records are non-null with 73 distinct values observed.",[No Immediate Action]
PhoneService,string,bool,No | Yes,0,0.0,"boolean column contains non-standard representations: ['No', 'Yes'] — standardize to 'True'/'False' before converting to bool dtype","Binary indicator flag stored as string values 'Yes' and 'No', representing whether the customer has phone service. All 7,043 records populated with no missing values. Intended to be stored as boolean type.","[STANDARDIZE] Convert boolean string representations to standardized format: 'Yes' → 'True', 'No' → 'False' before converting to boolean dtype."
MultipleLines,string,string,No phone service | Yes | No,0,0.0,,"Categorical indicator of whether the customer has multiple phone lines. Contains 3 distinct values: 'No', 'Yes', and 'No phone service' (indicating customers without phone service). All 7,043 records are non-null.",[No Immediate Action]
InternetService,string,string,DSL | No | Fiber optic,0,0.0,,"Categorical field indicating the type of internet service subscription. Contains 3 distinct values across 7,043 records: 'DSL', 'Fiber optic', and 'No' (indicating no internet service). No missing values observed.",[No Immediate Action]
OnlineSecurity,string,string,No | No internet service | Yes,0,0.0,,"Categorical field indicating Online Security subscription status. Contains 3 distinct values across 7,043 records with no missing values: 'Yes' (subscribed), 'No' (declined), and 'No internet service' (customer lacks internet service prerequisite).",[No Immediate Action]
OnlineBackup,string,string,No | No internet service | Yes,0,0.0,,"Categorical field indicating Online Backup subscription status. Contains 3 distinct values across 7,043 records with no missing values: 'Yes' (subscribed), 'No' (declined), and 'No internet service' (customer lacks internet service prerequisite).",[No Immediate Action]
DeviceProtection,string,string,No | No internet service | Yes,0,0.0,,"Categorical field indicating Device Protection subscription status. Contains 3 distinct values across 7,043 records with no missing values: 'Yes' (subscribed), 'No' (declined), and 'No internet service' (customer lacks internet service prerequisite).",[No Immediate Action]
TechSupport,string,string,No | No internet service | Yes,0,0.0,,"Categorical field indicating Technical Support subscription status. Contains 3 distinct values across 7,043 records with no missing values: 'Yes' (subscribed), 'No' (declined), and 'No internet service' (customer lacks internet service prerequisite).",[No Immediate Action]
