column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
Name,string,string,Jackson County Reynolds Field | Ilopango International Airport | Block Island State Airport | Ancona Falconara Airport | Alice Springs Airport,0,0.0,,"Airport name stored as free-text. Contains 7,698 records with no missing values and 7,658 distinct values. There are 40 repeated non-null values (e.g., 'Deer Lake Airport', 'Charlottetown Airport', 'Newcastle Airport'). One observed value includes a '(Duplicate)' prefix: '(Duplicate) Playa Samara Airport'.","[CLARIFY] Confirm whether the '(Duplicate)' prefix on '(Duplicate) Playa Samara Airport' is a system annotation indicating a duplicate record or part of the official airport name. If it is an annotation, determine whether it should be removed, preserved, or split into a separate status field."
City,string,string,Chilecito | Pueblo | Sao Paulo | Coonawarra | Portland,52,0.006755001299038711,49 NULL values (0.6% of 7698 records) | 3 placeholder/missing-sentinel values (0.0%) e.g. ['Null'],"City name stored as free-text. Contains 6,954 distinct values across 7,649 non-null records (out of 7,698 total), indicating that multiple airports may serve the same city. 49 records (0.6%) are NULL and 3 records (0.0%) contain the placeholder string 'Null'. Natural variation in length, language, and diacritics is expected for geographic names.","[CLARIFY] Confirm handling for 49 NULL values (0.6%) and 3 placeholder entries 'Null' (0.0%). Determine whether missing city values should remain null, be excluded from geographic analysis, or be populated from an authoritative source."
Country,string,string,United States | El Salvador | Italy | Australia | United Kingdom,0,0.0,column appears categorical (low uniqueness: 3.1%) but has 237 distinct values — possible contamination or encoding issues,"Country name associated with each airport, stored as text. All 7,698 records (0%) are non-null, with 237 distinct values reflecting multiple airports per nation. A system flag highlights possible contamination or encoding issues among the distinct values. The column shares a value domain with airlines.Country (71.5% / 83.5% coverage).",[CLARIFY] Review the 237 distinct country values for potential contamination or encoding anomalies flagged during profiling.
IATA,string,string,JXN | \N | BID | AOI | ASP,0,0.0,,"IATA airport code stored as uppercase text. Contains 7,698 records with zero null values and 6,073 distinct values. Observed value lengths are 2 and 3 characters. 205 records (20.5%) contain the string literal '\N' rather than a standard alphabetic code, with '\N' appearing as the maximum value. The remaining values follow a 3-letter uppercase pattern (e.g., 'GKA', 'MAG', 'HGU').","[CLARIFY] Confirm whether the 205 records (20.5%) containing '\N' represent missing or unknown IATA codes, and whether they should be converted to NULL."
ICAO,string,string,KJXN | MSSS | KBID | LIPY | YBAS,0,0.0,,"ICAO airport identifier code stored as uppercase text. All 7,698 records are non-null and entirely unique. While the majority of values conform to the standard 4-letter alphabetic format (e.g., KJXN, LIPY), observed lengths include 2, 3, and 4 characters. The minimum value is '03N' (3 characters) and the maximum is '\N' (2 characters), the latter appearing to be a null-encoding artifact. Approximately 1.7% of records mix letters and digits in patterns such as 'CCP4', 'K2K7', and 'K87K'.","[CLARIFY] Review non-standard ICAO codes: confirm whether values containing digits (1.7% of records, e.g., 'CCP4', 'K2K7', 'K87K', 'KM94', '0WI8'), the 2-character code '\N' (likely a null-encoding artifact), and the 3-character code '03N' are valid identifiers or require correction. | [VALIDATE] Ensure all values follow the standard ICAO airport code format: exactly 4 uppercase alphabetic characters — e.g., 'KJXN'."
Latitude,float64,float64,42.25979996 | 13.69950008 | 41.16809845 | 43.616299 | -23.80669975,0,0.0,"4 value(s) fall below the statistically expected lower bound of -73.76 (Q1 - 2.0×IQR): [-90.0, -77.96340179, -77.86740112, -77.85399628]","Geographic latitude coordinate stored as float64. All 7,698 records are non-null with 7,672 distinct values (26 repeated records). Values span from -90.0 to 89.5, covering the full valid geographic latitude range. Several extreme negative values, including -90.0 and Antarctic coordinates near -77 to -78, fall below the statistical outlier threshold but remain within valid domain bounds.",[No Immediate Action]
Longitude,float64,float64,-84.45939636 | -89.11990356 | -71.57779694 | 13.3623 | 133.9019928,0,0.0,,"Geographic longitude coordinate for airport locations, stored as float64. Contains 7,698 records with no missing values. Values range from -179.877 to 179.951, consistent with valid longitude bounds. The column is near-unique with 7,674 distinct values and only 24 repeated records.",[No Immediate Action]
Altitude,int64,int64,1001 | 2021 | 108 | 49 | 1789,0,0.0,"640 value(s) exceed the statistically expected upper bound of 3483 (Q3 + 2.0×IQR): [3488, 3490, 3494, 3495, 3497]","Airport altitude stored as integer values ranging from -1,266 to 14,472 across 7,698 records, with 2,522 distinct values. Approximately 640 values (~8.3%) exceed the statistical upper bound of 3,483, representing high-altitude airport locations.",[No Immediate Action]
Timezone,float64,float64,-5 | -6 | 1 | 9.5 | 0,0,0.0,353 non-numeric value(s) (4.6% of 7698 records) found in numeric-like column; examples: ['\\N'] | [-1] — confirm if these represent missing or invalid data,"Timezone offset from UTC stored as float64. Contains 7,698 records with 0 NULL values, but 353 records (4.6%) contain the non-numeric placeholder '\\N' likely indicating missing or unknown timezone data. Observed values range from -12.0 to 13.0 across 41 distinct offsets, including fractional values such as 9.5.","[STANDARDIZE] Convert 353 records (4.6%) containing the non-numeric missing-data placeholder '\\N' to proper NULL/NaN values: '\\N' → NULL. | [VALIDATE] Ensure all values are numeric decimals representing UTC offsets (e.g., -5, 0, 9.5, -12) with no remaining string placeholders."
DST,string,string,A | U | E | N | O,0,0.0,,"DST indicator stored as a short categorical code. All 7,698 records are non-null, with 96.2% using a single uppercase letter (e.g., 'A', 'E', 'N', 'O', 'S', 'U', 'Z'). Approximately 293 records (3.8%) contain the two-character string literal '\N', deviating from the dominant single-character format.","[CLARIFY] Confirm whether the 3.8% of values represented as '\N' (approximately 293 records) should be converted to NULL, mapped to 'U', or handled differently, given that 'N' is already a distinct observed code. | [VALIDATE] After standardisation, ensure all values conform to the single-character uppercase letter format — e.g., 'A', 'E', 'N'."
Timezone.1,string,string,America/New_York | America/El_Salvador | Europe/Rome | Australia/Darwin | Europe/London,0,0.0,column appears categorical (low uniqueness: 4.0%) but has 308 distinct values — possible contamination or encoding issues,"Timezone field storing IANA timezone identifiers (e.g., 'America/New_York', 'Europe/Rome') as text across 7,698 records. Contains 308 distinct values, which is expected because many airports share the same timezone. Zero values are reported as NULL; however, the maximum value is '\N', indicating at least one record stores a null sentinel as a string literal.",[CLARIFY] Confirm whether '\N' values represent missing timezone data and should be converted to NULL. At least one record contains '\N' as the maximum string value despite zero reported NULLs.
