column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
order_id,int64,string,10856 | 10705 | 10538 | 10806 | 10416,0,0.0,,Order identifier serving as the primary key for the orders table. Contains 830 distinct values with no missing records (100% unique). Values are consistently 5-digit integers ranging from 10248 to 11077. Currently stored as int64 but intended to be string type. Referenced by northwind_order_details.order_id with 100% referential integrity.,[STANDARDIZE] Convert data type from int64 to string to align with intended storage format. | [VALIDATE] Enforce referential integrity with northwind_order_details.order_id before loading new records or performing joins.
customer_id,string,string,ANTON | HILAA | BSBEV | VICTE | WARTH,0,0.0,,"Customer identifier stored as 5-character uppercase alphabetic codes (e.g., 'ALFKI', 'WOLZA'). Contains 89 distinct customer IDs across 830 order records with no missing values, indicating repeat customers. All values conform to a consistent length and casing pattern.",[No Immediate Action]
employee_id,int64,int64,3 | 9 | 8 | 6 | 1,0,0.0,,Employee identifier field storing integer values from 1 to 9. Contains 9 distinct employee IDs across 830 order records with no missing values. Values are single-digit integers representing the employee associated with each order.,[No Immediate Action]
order_date,string,datetime64[ns],1998-01-28 | 1997-10-15 | 1997-05-15 | 1997-12-31 | 1997-01-16,0,0.0,,"Order date field storing transaction dates as ISO 8601 formatted strings (YYYY-MM-DD). Spans from 1996-07-04 to 1998-05-06 with 480 distinct dates across 830 records, indicating multiple orders may be placed on the same date. Currently stored as string type despite representing temporal data.",[STANDARDIZE] Convert data type from string to datetime64[ns] to enable proper date arithmetic and temporal filtering. | [VALIDATE] Ensure all values conform to ISO 8601 date format (YYYY-MM-DD) after type conversion.
required_date,string,datetime64[ns],1998-02-25 | 1997-11-12 | 1997-06-12 | 1998-01-28 | 1997-02-13,0,0.0,,"Required delivery date for orders, stored as ISO 8601 formatted strings (YYYY-MM-DD). Contains 830 non-null records (0% missing) spanning from 1996-07-24 to 1998-06-11, with 454 distinct dates observed. Currently stored as string type but intended as datetime64[ns].","[STANDARDIZE] Convert column data type from string to datetime64[ns] to properly represent temporal values. All 830 values (100%) conform to ISO 8601 format and are ready for conversion. | [VALIDATE] Ensure all values follow ISO 8601 date format: four-digit year, two-digit month, two-digit day separated by hyphens — e.g., '1998-02-25'."
shipped_date,string,datetime64[ns],1998-03-19 | 1997-05-30 | 1997-04-04 | 1997-07-04 | 1997-12-24,21,0.02530120481927711,21 NULL values (2.5% of 830 records),"Date when the order was shipped, stored as 10-character string in ISO 8601 format (YYYY-MM-DD). Contains 809 non-null values (97.5%) and 21 NULL values (2.5%), where nulls likely indicate orders not yet shipped or cancelled. Values span from '1996-07-10' to '1998-05-06' with 387 distinct dates observed, indicating multiple orders may share the same shipping date. The column exhibits perfect format uniformity (100% ISO date pattern) but is stored as string rather than datetime.","[STANDARDIZE] Convert data type from string to datetime64[ns] to enable proper date arithmetic, temporal filtering, and sorting."
ship_via,int64,int64,2 | 3 | 1,0,0.0,,"Shipping method identifier stored as integer (int64), containing 3 distinct values (1, 2, 3) across 830 records with no missing values. Low-cardinality categorical field representing different shipping carriers or methods, though the observed value set is noted as not constituting an officially approved reference list.",[No Immediate Action]
freight,float64,float64,58.43 | 3.52 | 4.87 | 22.11 | 22.72,0,0.0,,"Freight or shipping cost associated with each order, stored as float64. All 830 records are populated (0% missing). Values range from 0.02 to 1007.64, with 799 distinct amounts observed (96.3% uniqueness), indicating that some orders share identical freight costs.",[No Immediate Action]
ship_name,string,string,Antonio Moreno Taquería | HILARION-Abastos | B's Beverages | Victuailles en stock | Wartian Herkku,0,0.0,,"Shipping recipient name (company or customer name) for order delivery. Contains 90 distinct business names across 830 records with no missing values. Values include proper nouns with accents, apostrophes, and mixed casing (e.g., 'Antonio Moreno Taquería', 'B's Beverages', 'HILARION-Abastos') which appear to reflect official business naming conventions. High repetition rate indicates repeat customers or established shipping destinations.",[No Immediate Action]
ship_address,string,string,"Mataderos  2312 | Carrera 22 con Ave. Carlos Soublette #8-35 | Fauntleroy Circus | 2, rue du Commerce | Torikatu 38",0,0.0,,"Shipping or delivery address for orders, stored as free-text with expected international format variation. Contains 830 non-null records with 89 distinct values (10.7% uniqueness), indicating addresses are reused across multiple orders. No missing values detected.",[No Immediate Action]
ship_city,string,string,México D.F. | San Cristóbal | London | Lyon | Oulu,0,0.0,,"Shipping destination city stored as free-text. Contains 830 records with 0 missing values and 70 distinct city names, indicating multiple orders shipped to the same cities. Values include international locations with preserved diacritics and accents (e.g., 'México D.F.', 'San Cristóbal', 'Århus').",[No Immediate Action]
