column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
S_N,int64,int64,28 | 16 | 24 | 18 | 9,0,0.0,,"Sequential identifier (likely 'Serial Number') stored as integer, with values ranging from 1 to 30 across 30 records. Contains 0 missing values with near-uniqueness (29 distinct values); value '3' appears twice. Serves as a join key to Cust_Bio_dirty.S_N with 100% referential coverage on this side and 96.7% on the reverse.","[CLARIFY] Confirm whether the duplicate value '3' is intentional or represents a data quality issue, given the column's designation as a one-to-one shared key with Cust_Bio_dirty.S_N. | [VALIDATE] Enforce referential integrity against Cust_Bio_dirty.S_N before joining or loading new records."
Account_No,int64,string,1026 | 1014 | 1022 | 1016 | 1008,0,0.0,,"Account identifier with 4-digit numeric codes ranging from 1001 to 1028. Contains 30 records with 28 distinct values, indicating 2 account numbers (1001 and 1010) each appear twice. Currently stored as int64 but intended to be string to preserve identifier semantics and prevent unintended mathematical operations. No missing values.","[STANDARDIZE] Convert data type from int64 to string to properly represent account identifiers. | [CLARIFY] Review 2 duplicate account numbers ('1001', '1010') to verify if multiple records per account are valid business scenarios or if deduplication is required."
Full_Name,string,string,Wang Shi Jie | Danish | junrong | Shalini d/o Krishnan | Farah Binte Hassan,0,0.0,,"Full name stored as free-text representing 30 distinct individuals with no missing values. Contains multicultural naming conventions including Malay patronymics (Bin/Binte) and Indian patronymics (s/o, d/o). Case analysis shows most values follow Title Case, with four records (13%) exhibiting lowercase or mixed-case deviations and one record containing double-spacing.","[STANDARDIZE] Standardise deterministic casing deviations using the dominant Title Case convention: 'junrong' → 'Junrong', 'irfan' → 'Irfan', 'Lee yixuan' → 'Lee Yixuan', 'Hui Min tan' → 'Hui Min Tan'. | [STANDARDIZE] Remove extra whitespace: 'Ramesh s/o  Govindasamy' → 'Ramesh s/o Govindasamy'."
ID,string,string,S8403757E | S8421753X | S8792459I | G2233445S | G5566778N,0,0.0,,"Unique identifier field storing values consistent with Singapore NRIC/FIN format (national identification numbers). Contains 30 records with no missing values and 100% uniqueness. 96.7% of values follow the standard 9-character format comprising one letter prefix (S, T, F, or G), 7 digits, and one checksum letter (e.g., S8403757E). One record (3.3%) uses a truncated 7-character format lacking the checksum letter and one digit (S123456).","[CLARIFY] Review the malformed entry 'S123456' which appears truncated (missing one digit and the checksum letter compared to the standard format). Confirm whether this is a data entry error, test value, or requires correction to match the dominant 9-character pattern. | [VALIDATE] Ensure all values follow the format: one letter (S, T, F, or G), followed by 7 digits, ending with one uppercase letter — e.g., S1234567D."
JoinDate,string,datetime64[ns],2021-03-14 00:00:00 | 2027-01-15 00:00:00 | 2022-06-18 00:00:00 | 2022-09-17 00:00:00 | 2021-07-18 00:00:00,1,0.03333333333333333,1 NULL values (3.3% of 30 records) | 1 unparseable date-like values; examples: ['2025-13-01'],"Account join date stored as string (intended type is datetime64[ns]). Contains 29 distinct non-null values across 30 records, with 1 missing value (3.3%). Observed range spans 2020-01-01 to 2027-01-15. Contains one unparseable value ('2025-13-01' with invalid month 13) and one future date ('2027-01-15').","[CLARIFY] Resolve anomalous values before type conversion: (1) Unparseable date '2025-13-01' (invalid month 13) — confirm the correct date, (2) Future date '2027-01-15' — verify if this represents a pre-registration or data entry error. | [STANDARDIZE] Convert valid date strings from 'YYYY-MM-DD 00:00:00' format to datetime64[ns] type after cleaning invalid entries."
LastLogin,string,datetime64[ns],2023-03-30 00:00:00 | 2023-10-17 00:00:00 | 2023-07-29 00:00:00 | 2023-06-15 00:00:00 | 2024-05-12 00:00:00,0,0.0,,"Last login timestamp stored as string across 30 records with no missing values. Contains 28 distinct values spanning from 2019-01-01 to 2024-05-12. All values follow a consistent 19-character datetime format (YYYY-MM-DD HH:MM:SS) with the time component fixed at 00:00:00, indicating either date-only precision or standardized midnight timestamping. Two values are repeated (2023-11-17 and 2023-07-10), representing multiple accounts with identical last login dates.","[STANDARDIZE] Convert data type from string to datetime64[ns] to enable proper temporal filtering and sorting operations. | [VALIDATE] Ensure all values conform to the format: 4-digit year, 2-digit month, and 2-digit day separated by hyphens, followed by a space and 00:00:00 time component — e.g., 2023-03-30 00:00:00."
Subscription_Type,string,string,Premium | Basic | Free | Gold | Platinum,0,0.0,,"Subscription tier or plan type stored as categorical text. Contains 5 distinct values (Basic, Free, Gold, Platinum, Premium) across 30 records with no missing values.",[No Immediate Action]
SubscriptionFee,string,float64,16.53 | 434.17 | 961.14 | 99999 | 152.2,2,0.06666666666666667,2 NULL values (6.7% of 30 records),Subscription fee amount stored as string despite representing numeric monetary values. Contains 2 NULL values (6.7% of 30 records) and 28 distinct non-null entries. Includes one non-numeric text value 'free' and a suspicious high-value entry '99999' that may represent a sentinel or placeholder. Valid numeric fees range from 16.53 to 961.14.,[STANDARDIZE] Convert data type from string to float64. | [CLARIFY] Confirm whether anomalous values represent valid business states: 'free' (zero fee or NULL?) and '99999' (valid fee or sentinel for missing data?). | [CLARIFY] Confirm whether the 6.7% missing rate is expected or if the field should be mandatory for all records. | [VALIDATE] Ensure all values are positive decimal numbers after standardization.
Status,string,string,True | False | 1 | 0 | yes,0,0.0,,"Boolean status flag stored as string with inconsistent representations. Contains 6 distinct values across 30 records representing binary states: 'True'/'False', '1'/'0', and 'yes'/'no'. No missing values.","[CLARIFY] Confirm the canonical boolean format for Status (e.g., 'True'/'False', '1'/'0', or 'yes'/'no') and standardize equivalent values ('True'='1'='yes', 'False'='0'='no') to the selected representation."
AccountBalance,float64,float64,99999.0 | 250.7 | 979.25 | 124.56 | 600.35,0,0.0,1 value(s) exceed the statistically expected upper bound of 1525 (Q3 + 1.5×IQR): [99999.0] | [99999.0] is a statistical outlier (above expected range 1525) and appears sentinel-coded (1 record(s) share this exact value) — confirm if this represents missing or invalid data | [-150.5] is sign-anomalous (negative value in an almost-entirely-positive column) — confirm if this represents missing or invalid data,"Account balance field stored as decimal numbers (float64). Contains 30 unique non-null values across 30 records with no missing data. Value range spans -150.5 to 99,999.0. Contains suspected sentinel value 99,999.0 identified as a statistical outlier exceeding the expected upper bound (1,525), and one negative value (-150.5).","[CLARIFY] Confirm business meaning of anomalous values: 99,999.0 (appears sentinel-coded, possible missing data placeholder) and -150.5 (negative balance, confirm if valid overdraft or data error)."
PreferredLanguage,string,string,German | English | French | Malay | Tamil,0,0.0,,"Preferred language selection stored as categorical text. Contains 30 records with 0 missing values (100% complete) and 5 distinct values: English, French, German, Malay, and Tamil. All values follow consistent title casing with lengths between 5-7 characters.",[No Immediate Action]
Device,string,string,Mobile | Desktop | Tablet,0,0.0,,"Categorical field indicating the device type used to access the account (Desktop, Mobile, or Tablet). Complete with no missing values across all 30 records, containing 3 distinct values.",[No Immediate Action]
OS,string,string,Windows | iOS | Android | Linux | macOs,0,0.0,,"Operating system identifier stored as categorical text. Contains 8 distinct values across 30 records with no missing values. Casing inconsistencies detected across Android, iOS, and Linux entries, and 'macOs' appears to be a typographical variation of the official macOS branding.","[STANDARDIZE] Unify casing to match official brand conventions: 'android' → 'Android', 'IOS' → 'iOS', 'LINUX' → 'Linux', and correct typographical variation 'macOs' → 'macOS'. | [VALIDATE] Ensure all values match the expected operating system names (Android, iOS, Linux, macOS, Windows) after standardization."
FeedbackScore,float64,float64,4.46 | 5.0 | 1.79 | 4.01 | 7.3,0,0.0,1 value(s) exceed the statistically expected upper bound of 6.945 (Q3 + 1.5×IQR): [7.3] | [7.3] is a statistical outlier (above expected range 6.945) and appears sentinel-coded (1 record(s) share this exact value) — confirm if this represents missing or invalid data | column appears to be a near-duplicate of another column in this table — confirm if both are needed or if one should be removed,"Numeric feedback score stored as float64, with values ranging from 1.0 to 7.3 across 30 records (0% missing). Contains 29 distinct values (near-unique), with only the value 1.78 appearing twice. One statistical outlier detected at 7.3, exceeding the expected upper bound of 6.945 (Q3 + 1.5×IQR) and potentially representing a sentinel-coded missing value. Column exhibits 81.25% value resemblance to 'FeedbackScore1', indicating potential redundancy.","[CLARIFY] Confirm whether the outlier value 7.3 represents a valid high score, a sentinel-coded missing value, or a data entry error. | [CLARIFY] Assess relationship with 'FeedbackScore1' column (81.25% value resemblance) to determine if both columns are required or if one should be removed to eliminate redundancy."
FeedbackScore1,float64,float64,4.46 | 5.0 | 1.79 | 4.01 | 2.65,0,0.0,column appears to be a near-duplicate of another column in this table — confirm if both are needed or if one should be removed,"Numeric feedback score ranging from 1.0 to 5.0, stored as float64. All 30 records are populated with no missing values. Contains 29 distinct values (near-unique), with only one repeated value ('1.78'). Note: Column exhibits 81.25% value resemblance to 'FeedbackScore' in the same table, indicating potential duplication.",[CLARIFY] Review column redundancy: 'FeedbackScore1' shows 81.25% value overlap with 'FeedbackScore'. Confirm whether both columns are required for business purposes or if one should be removed to eliminate redundancy.
