column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
ServiceNo,int64,int64,176 | 30 | 78,0,0.0,,"Bus service or route number stored as integer (int64). Contains 3 distinct values ranging from 30 to 176 with no missing values (0/3 records). Values vary between 2 and 3 digits, consistent with typical bus route numbering schemes.",[No Immediate Action]
Operator,string,string,SMRT | SBST | TTS,0,0.0,,"Bus operator identifier stored as uppercase string abbreviations. Contains 3 distinct non-null values (SBST, SMRT, TTS) with no missing values across 3 records. Values exhibit natural length variation between 3-4 characters.",[No Immediate Action]
NextBus.OriginCode,int64,string,10009 | 84009 | 29009,0,0.0,,"Bus origin code identifying the starting terminal or origin point for the bus service. Currently stored as int64 but intended to be string. Contains 5-digit numeric codes (e.g., 10009, 29009, 84009) with no missing values across 3 records. All 3 observed values are unique.","[STANDARDIZE] Convert data type from int64 to string to align with intended schema: 10009 → '10009', 29009 → '29009', 84009 → '84009'. | [VALIDATE] Ensure all values follow the format: exactly 5 digits — e.g., '10009'."
NextBus.DestinationCode,int64,string,45009 | 22009 | 29009,0,0.0,,Destination code identifier for bus arrival records. Currently stored as int64 but intended as string type. Observed values are 5-digit numeric codes ranging from 22009 to 45009 with no missing values across 3 records. All values are unique and exactly 5 characters in length when represented as strings.,"[STANDARDIZE] Convert data type from int64 to string to align with intended type and preserve standard code format: 45009 → '45009', 22009 → '22009', 29009 → '29009'."
NextBus.EstimatedArrival,string,datetime64[ns],2024-08-22T15:27:15+08:00 | 2024-08-22T15:26:22+08:00 | 2024-08-22T15:29:57+08:00,0,0.0,,"Estimated arrival timestamp for the next bus, stored as string in ISO 8601 format with +08:00 timezone offset. Contains 3 unique values with no missing data (0 out of 3 records), ranging from '2024-08-22T15:26:22+08:00' to '2024-08-22T15:29:57+08:00'. Column is currently stored as string but intended to be datetime64[ns] for temporal operations.","[STANDARDIZE] Convert data type from string to datetime64[ns] to enable proper temporal analysis and sorting. | [VALIDATE] Verify all values follow the format: YYYY-MM-DDTHH:MM:SS followed by timezone offset +HH:MM (e.g., '2024-08-22T15:27:15+08:00')."
NextBus.Monitored,int64,int64,1,0,0.0,,Binary monitoring status flag stored as integer (int64). All 3 records (100%) contain the constant value 1 with zero variance; no missing values observed. The uniform value suggests this may indicate active monitoring status or reflect limited sample diversity.,"[CLARIFY] Confirm whether this field is expected to contain constant value 1 (mandatory metadata flag) or if it should support variable binary values (0/1). If the field is constant by design, assess whether it provides analytical value or should be excluded from downstream processing."
NextBus.Latitude,float64,float64,1.3100396666666667 | 1.3144378333333333 | 1.3087378333333333,0,0.0,,"Latitude coordinate of the next bus location, stored as high-precision float64. Values range from 1.3087 to 1.3144, consistent with Singapore geography. All 3 observed values are distinct.",[No Immediate Action]
NextBus.Longitude,float64,float64,103.75647683333334 | 103.75299533333333 | 103.73379016666667,0,0.0,,"Geographic longitude coordinate for the next bus location, stored as high-precision float64. All 3 records are populated (0% missing) with unique values ranging from 103.733790 to 103.756477, consistent with Singapore's geographic coordinates. Values exhibit perfect format uniformity.",[No Immediate Action]
NextBus.VisitNumber,int64,int64,1,0,0.0,,"Integer field representing a visit number or sequence indicator. All 3 records (100%) contain the constant value 1, resulting in zero analytical variance. No missing values observed.","[CLARIFY] Confirm whether the constant value (1) is expected for all records and whether this field serves a mandatory metadata purpose for downstream use, or if it can be removed given its zero variance."
NextBus.Load,string,string,SEA,0,0.0,,"Bus load indicator stored as a fixed 3-character categorical string. All 3 observed records contain the identical value 'SEA' with 0 missing values (0%), resulting in zero analytical variance within the current sample.","[CLARIFY] Assess whether this field should be retained given zero variance in the observed data (all 3 records contain identical value 'SEA'), or if it serves a mandatory metadata purpose that justifies retention despite lack of variation."
NextBus.Feature,string,string,WAB,0,0.0,,"Bus feature identifier stored as 3-character string. Contains 0 missing values out of 3 records (0%). All observed values are identical ('WAB'), indicating zero variance in the current sample.",[No Immediate Action]
NextBus.Type,string,string,DD,0,0.0,,Bus type identifier stored as a 2-character string code. Contains the constant value 'DD' across all 3 records (100% of data) with zero analytical variance. No missing values present.,"[CLARIFY] Assess whether the constant value 'DD' indicates the dataset is filtered to a specific bus type, or if this column should be removed due to lack of analytical variance."
