column_name,data_type,intended_data_type,sample_values,missing_count,missing_pct,errors,description,recommended_actions
Name,string,string,Quort | Alyx Frey | Jacelyn Bywater | Meha | Tickler,0,0.0,,"Character name stored as free-text. Contains 917 records with no missing values and 916 distinct values, indicating near-uniqueness with a single repeated value ('Myles'). Values share a domain with 'character-predictions.name' (92.7% coverage), though no primary/foreign key relationship exists.",[No Immediate Action]
Allegiances,string,string,House Targaryen | Tyrell | Baratheon | Greyjoy | Arryn,253,0.27589967284623773,253 NULL values (27.6% of 917 records),"Faction or house allegiance stored as categorical text. Of 917 total records, 664 are non-null across 20 distinct values, while 253 records (27.6%) are missing. House names appear inconsistently, with some values using a 'House ' prefix (e.g., 'House Stark') and others using the bare name (e.g., 'Stark').","[CLARIFY] Confirm whether the 253 missing values (27.6%) are expected or if this field is required for downstream use. | [CLARIFY] Review inconsistent house name formatting before standardisation. Values appear with and without 'House ' prefix: 'Arryn' vs 'House Arryn', 'Baratheon' vs 'House Baratheon', 'Greyjoy' vs 'House Greyjoy', 'Lannister' vs 'House Lannister', 'Martell' vs 'House Martell', 'Stark' vs 'House Stark', 'Targaryen' vs 'House Targaryen', 'Tully' vs 'House Tully', 'Tyrell' vs 'House Tyrell'. Confirm the canonical form with the data owner."
Death_Year,float64,int64,299.0 | 300.0 | 298.0,612,0.6673936750272628,"612 NULL values (66.7% of 917 records) | raw source values include decimal suffix artefacts ['299.0', '300.0', '298.0', '297.0']","Year of death stored as float64 with decimal suffix artefacts on all non-null values. Contains 305 non-null records out of 917 total (66.7% missing). Only 4 distinct year values are observed, ranging from 297 to 300. The column is intended to be stored as int64.","[STANDARDIZE] Convert decimal suffix artefacts from float64 to int64: '297.0' → '297', '298.0' → '298', '299.0' → '299', '300.0' → '300'. This affects all 305 non-null records (100%). | [VALIDATE] Ensure all values are whole numbers without decimal suffixes after type conversion — e.g., 299 instead of 299.0. | [CLARIFY] With 66.7% missing values (612 of 917 records), assess whether this field is business-critical, optional, sparse by design, or should be excluded from specific analyses."
Book_of_Death,float64,int64,5.0 | 2.0 | 3.0 | 4.0 | 1.0,610,0.6652126499454744,"610 NULL values (66.5% of 917 records) | raw source values include decimal suffix artefacts ['3.0', '5.0', '4.0', '2.0', '1.0']","Identifier indicating the book number in which a character died. Of 917 total records, 610 are null (66.5%) and 307 are populated with only 5 distinct whole-number values ranging from 1.0 to 5.0. Values are stored as float64 with '.0' decimal suffix artefacts but are intended for int64 storage.","[STANDARDIZE] Convert float64 decimal suffix artefacts to int64: '1.0' → '1', '2.0' → '2', '3.0' → '3', '4.0' → '4', '5.0' → '5'. | [VALIDATE] Verify all values conform to int64 and remain within the observed range of 1 to 5 after standardisation. | [CLARIFY] With 610 missing values (66.5%), assess whether this field is business-critical, optional, sparse by design, or should be excluded from specific analyses."
Death_Chapter,float64,int64,51.0 | 66.0 | 23.0 | 34.0 | 56.0,618,0.6739367502726281,"618 NULL values (67.4% of 917 records) | raw source values include decimal suffix artefacts ['51.0', '20.0', '35.0', '56.0', '4.0']","Numeric chapter identifier indicating where a character death occurs. Stored as float64 with '.0' decimal suffix artefacts (e.g., '51.0') despite representing whole chapter numbers. Of 917 total records, 299 are non-null and 618 are missing (67.4%). Values range from 0.0 to 80.0, with 71 distinct non-null chapter numbers observed, indicating multiple characters may die in the same chapter.","[STANDARDIZE] Convert '.0' decimal suffix artefacts to int64 (affects 100% of non-null values): '51.0' → '51', '20.0' → '20', '35.0' → '35', '56.0' → '56', '4.0' → '4'. | [VALIDATE] Verify all values are whole numbers with no remaining decimal component after conversion. | [CLARIFY] Assess whether the 618 missing values (67.4%) indicate characters who did not die, whether the field is optional/sparse by design, or if the column should be excluded from analyses focusing only on confirmed deaths."
Book_Intro_Chapter,float64,int64,13.0 | 7.0 | 31.0 | 15.0 | 10.0,12,0.013086150490730643,"12 NULL values (1.3% of 917 records) | raw source values include decimal suffix artefacts ['56.0', '49.0', '5.0', '20.0', '21.0']","Chapter number where a character was introduced in the book. Stored as float64 with '.0' decimal suffix artefacts on all values (e.g., '13.0', '7.0'), though the intended type is int64. Contains 12 missing values out of 917 records (1.3%). Values range from 0 to 80, with 79 distinct chapter numbers across 905 non-null records, indicating multiple characters may share an introduction chapter.","[STANDARDIZE] Convert float64 decimal suffix artefacts to integers: '13.0' → '13', '7.0' → '7', '31.0' → '31', '56.0' → '56', '5.0' → '5'. | [VALIDATE] Verify all values are whole numbers between 0 and 80 after conversion to integer type."
Gender,int64,int64,1 | 0,0,0.0,"boolean column contains non-standard representations: ['1', '0'] — standardize to 'True'/'False' before converting to bool dtype","Gender classification stored as integer codes with two distinct values, 0 and 1, across all 917 records. No missing values. Values are uniform in length and numeric format, but the dataset does not include an approved reference list defining the semantic meaning of each code.","[CLARIFY] Confirm what the integer codes 0 and 1 represent (e.g., specific gender categories or boolean flags) and agree on the canonical descriptive labels or boolean values to use."
Nobility,int64,int64,0 | 1,0,0.0,"boolean column contains non-standard representations: ['1', '0'] — standardize to 'True'/'False' before converting to bool dtype",Binary nobility indicator stored as int64. All 917 records are non-null with exactly two distinct values observed: 0 and 1. Values are consistently single-digit integers functioning as a categorical flag.,"[STANDARDIZE] All values (100%) use non-standard boolean representations. Convert to standard boolean strings: '0' → 'False', '1' → 'True' before converting to bool dtype."
GoT,int64,int64,0 | 1,0,0.0,"boolean column contains non-standard representations: ['1', '0'] — standardize to 'True'/'False' before converting to bool dtype","Boolean column stored as int64 with numeric codes 0 and 1 across all 917 records. No missing values are present, and only two distinct values are observed. The current representation uses integer codes rather than native boolean values.","[STANDARDIZE] Convert non-standard boolean integer codes to standard string representations: '0' → 'False', '1' → 'True' (applies to all 917 records / 100% of values). | [VALIDATE] Verify all values match the expected boolean string format ('True' or 'False') before casting to native bool dtype."
CoK,int64,int64,0 | 1,0,0.0,"boolean column contains non-standard representations: ['1', '0'] — standardize to 'True'/'False' before converting to bool dtype","Binary indicator column stored as int64 with no missing values across 917 records. Contains only two distinct values, 0 and 1, functioning as boolean flags but currently encoded as integers.","[STANDARDIZE] Convert integer boolean representations to standard boolean values: '0' → False, '1' → True (all 917 records, 100%), then cast to bool dtype."
